2019_movies,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt4154796,Avengers: Endgame,N/A,USA,"Action, Adventure, Drama, Sci-Fi","Anthony Russo, Joe Russo",78,Marvel Studios,PG-13,8.5,94%,181 min,movie,"613,329"
tt2527338,Star Wars: The Rise of Skywalker,N/A,USA,"Action, Adventure, Fantasy, Sci-Fi",J.J. Abrams,N/A,Walt Disney Pictures,PG-13,N/A,55%,142 min,movie,N/A
tt4154664,Captain Marvel,N/A,"USA, Australia","Action, Adventure, Sci-Fi","Anna Boden, Ryan Fleck",64,Marvel Studios,PG-13,6.9,78%,123 min,movie,"380,206"
tt0448115,Shazam!,N/A,"USA, Canada","Action, Adventure, Comedy, Fantasy",David F. Sandberg,71,New Line Cinema,PG-13,7.1,90%,132 min,movie,"199,841"
tt3861390,Dumbo,N/A,"USA, UK, Australia, Canada","Adventure, Family, Fantasy",Tim Burton,51,Walt Disney Pictures,PG,6.3,47%,112 min,movie,"51,436"
tt3741700,Godzilla: King of the Monsters,N/A,"Japan, Canada, USA","Action, Adventure, Fantasy, Sci-Fi",Michael Dougherty,48,Warner Bros. Pictures,PG-13,6.1,42%,132 min,movie,"100,328"
tt3513498,The Lego Movie 2: The Second Part,N/A,"Denmark, Norway, Australia, USA","Animation, Action, Adventure, Comedy, Family, Fantasy, Musical",Mike Mitchell,65,Warner Bros. Pictures,PG,6.7,85%,107 min,movie,"41,571"
tt6320628,Spider-Man: Far from Home,N/A,USA,"Action, Adventure, Sci-Fi",Jon Watts,69,Sony Pictures,PG-13,7.6,90%,129 min,movie,"238,917"
tt2386490,How to Train Your Dragon: The Hidden World,N/A,"USA, Japan","Animation, Action, Adventure, Family, Fantasy",Dean DeBlois,71,Universal Pictures,PG,7.5,90%,104 min,movie,"80,386"
tt1979376,Toy Story 4,N/A,USA,"Animation, Adventure, Comedy, Family, Fantasy",Josh Cooley,84,Disney/Pixar,G,7.9,97%,100 min,movie,"135,006"
tt5113040,The Secret Life of Pets 2,N/A,"USA, France, Japan","Animation, Adventure, Comedy, Family","Chris Renaud, Jonathan del Val(co-director)",55,Universal Pictures,PG,6.5,59%,86 min,movie,"31,612"
tt4520988,Frozen II,N/A,USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Chris Buck, Jennifer Lee",64,Walt Disney Pictures,PG,7.3,77%,103 min,movie,"12,874"
tt6095472,The Angry Birds Movie 2,N/A,"Finland, USA","Animation, Adventure, Comedy, Family","Thurop Van Orman, John Rice(co-director)",60,Columbia Pictures,PG,6.4,73%,97 min,movie,"10,015"
tt6450804,Terminator: Dark Fate,N/A,"USA, Spain, Hungary","Action, Adventure, Sci-Fi",Tim Miller,54,Paramount Pictures,R,6.5,70%,128 min,movie,"50,506"
tt6146586,John Wick: Chapter 3 - Parabellum,N/A,USA,"Action, Crime, Thriller",Chad Stahelski,73,Lionsgate,R,7.6,90%,131 min,movie,"197,479"
tt7349950,It Chapter Two,N/A,"Canada, USA","Drama, Fantasy, Horror",Andy Muschietti,58,New Line Cinema,R,6.7,63%,169 min,movie,"127,076"
tt2283336,Men in Black: International,N/A,USA,"Action, Adventure, Comedy, Sci-Fi",F. Gary Gray,38,Columbia Pictures,PG-13,5.6,23%,114 min,movie,"77,164"
tt2139881,Long Shot,N/A,USA,"Comedy, Romance",Jonathan Levine,67,Summit Entertainment,R,6.9,81%,125 min,movie,"56,821"
tt7329656,47 Meters Down: Uncaged,N/A,"UK, USA","Adventure, Drama, Horror, Thriller",Johannes Roberts,43,Entertainment Studios Motion Pictures,PG-13,5.0,42%,90 min,movie,"9,384"
tt7131622,Once Upon a Time ... in Hollywood,N/A,"USA, UK, China","Comedy, Drama",Quentin Tarantino,83,Columbia Pictures,R,7.9,85%,161 min,movie,"260,183"
tt6139732,Aladdin,N/A,USA,"Adventure, Family, Fantasy, Musical, Romance",Guy Ritchie,53,N/A,PG,7.1,NA,128 min,movie,"160,305"
tt5884052,Pokémon Detective Pikachu,N/A,"USA, Japan, UK, Canada","Action, Adventure, Comedy, Family, Mystery, Sci-Fi",Rob Letterman,53,Warner Bros. Pictures,PG,6.7,68%,104 min,movie,"105,639"
tt2274648,Hellboy,N/A,"USA, UK, Bulgaria, Canada","Action, Adventure, Fantasy, Horror, Sci-Fi",Neil Marshall,31,Summit Entertainment,R,5.2,17%,120 min,movie,"58,883"
tt6105098,The Lion King,N/A,USA,"Animation, Adventure, Drama, Family, Musical",Jon Favreau,55,Walt Disney Pictures,PG,7.0,53%,118 min,movie,"142,549"
tt6565702,Dark Phoenix,N/A,"USA, Canada","Action, Adventure, Sci-Fi",Simon Kinberg,43,20th Century Fox,PG-13,5.8,23%,113 min,movie,"113,234"
tt7975244,Jumanji: The Next Level,N/A,USA,"Action, Adventure, Comedy, Fantasy",Jake Kasdan,58,Sony Pictures,PG-13,7.0,66%,123 min,movie,"18,512"
tt6823368,Glass,N/A,"USA, China","Drama, Sci-Fi, Thriller",M. Night Shyamalan,43,Universal Pictures,PG-13,6.7,37%,129 min,movie,"171,937"
tt6513120,Fighting with My Family,N/A,"UK, USA","Biography, Comedy, Drama, Sport",Stephen Merchant,68,MGM,PG-13,7.1,92%,108 min,movie,"43,257"
tt1206885,Rambo: Last Blood,N/A,"USA, Spain, Bulgaria","Action, Adventure, Thriller",Adrian Grunberg,26,N/A,R,6.4,NA,89 min,movie,"32,541"
tt7634968,What Men Want,N/A,USA,"Comedy, Fantasy, Romance",Adam Shankman,49,Paramount Pictures,R,5.1,43%,117 min,movie,"14,832"
tt1560220,Zombieland: Double Tap,N/A,"USA, Canada","Action, Comedy, Horror",Ruben Fleischer,56,Columbia Pictures,R,7.2,69%,99 min,movie,"33,435"
tt5033998,Charlie's Angels,N/A,USA,"Action, Adventure, Comedy",Elizabeth Banks,52,Sony Pictures,PG-13,3.9,52%,118 min,movie,"10,241"
tt6806448,Fast & Furious Presents: Hobbs & Shaw,N/A,USA,"Action, Adventure",David Leitch,60,Universal Pictures,PG-13,6.5,67%,137 min,movie,"116,265"
tt8155288,Happy Death Day 2U,N/A,"USA, Japan","Comedy, Horror, Mystery, Sci-Fi, Thriller",Christopher Landon,57,Universal Pictures,PG-13,6.2,70%,100 min,movie,"41,804"
tt7286456,Joker,N/A,"USA, Canada","Crime, Drama, Thriller",Todd Phillips,59,Warner Bros. Pictures,R,8.7,69%,122 min,movie,"513,667"
tt0437086,Alita: Battle Angel,N/A,USA,"Action, Adventure, Sci-Fi, Thriller",Robert Rodriguez,53,20th Century Fox,PG-13,7.4,61%,122 min,movie,"174,971"
tt2935510,Ad Astra,N/A,"USA, China","Adventure, Drama, Mystery, Sci-Fi, Thriller",James Gray,80,20th Century Fox,PG-13,6.8,84%,123 min,movie,"86,453"
tt1620981,The Addams Family,N/A,"Canada, USA","Animation, Comedy, Family, Fantasy, Horror","Greg Tiernan, Conrad Vernon",46,United Artists Releasing,PG,5.8,43%,86 min,movie,"7,890"
tt5968394,Captive State,N/A,USA,"Drama, Sci-Fi, Thriller",Rupert Wyatt,54,Focus Features,PG-13,6.0,44%,109 min,movie,"40,817"
tt6476140,Serenity,N/A,"UK, USA","Drama, Mystery, Thriller",Steven Knight,37,Aviron Pictures,R,5.3,20%,106 min,movie,"26,341"
tt8946378,Knives Out,N/A,USA,"Comedy, Crime, Drama, Mystery, Thriller",Rian Johnson,82,Lionsgate,PG-13,8.1,96%,130 min,movie,"66,522"
tt5886046,Escape Room,N/A,"USA, South Africa","Action, Adventure, Horror, Mystery, Thriller",Adam Robitel,48,Columbia Pictures,PG-13,6.3,50%,99 min,movie,"61,485"
tt2452244,Isn't It Romantic,N/A,USA,"Comedy, Fantasy, Romance",Todd Strauss-Schulson,60,New Line Cinema,PG-13,5.9,70%,89 min,movie,"52,595"
tt6857112,Us,N/A,"USA, China","Horror, Mystery, Thriller",Jordan Peele,81,Universal Pictures,R,6.9,93%,116 min,movie,"164,411"
tt7043012,Velvet Buzzsaw,N/A,USA,"Horror, Mystery, Thriller",Dan Gilroy,61,N/A,R,5.7,63%,113 min,movie,"45,626"
tt3256226,IO,N/A,USA,"Adventure, Drama, Romance, Sci-Fi",Jonathan Helpert,40,N/A,TV-14,4.7,31%,96 min,movie,"26,890"
tt5316540,Close,N/A,"UK, USA","Action, Drama, Thriller",Vicky Jewson,51,N/A,TV-MA,5.7,NA,94 min,movie,"17,420"
tt1298644,The Hustle,N/A,USA,"Comedy, Crime",Chris Addison,35,MGM,PG-13,5.4,14%,93 min,movie,"28,169"
tt4777008,Maleficent: Mistress of Evil,N/A,"USA, UK","Adventure, Family, Fantasy",Joachim Rønning,43,Walt Disney Pictures,PG,7.0,40%,119 min,movie,"27,992"
tt8350360,Annabelle Comes Home,N/A,USA,"Horror, Mystery, Thriller",Gary Dauberman,53,New Line Cinema,R,5.9,64%,106 min,movie,"41,122"
tt0837563,Pet Sematary,N/A,"USA, Canada","Horror, Mystery, Thriller","Kevin Kölsch, Dennis Widmyer",57,N/A,R,5.8,NA,101 min,movie,"62,362"
tt1488606,Triple Frontier,N/A,USA,"Action, Adventure, Crime, Drama, Thriller",J.C. Chandor,61,N/A,R,6.5,72%,125 min,movie,"86,081"
tt4463894,Shaft,N/A,USA,"Action, Comedy, Crime",Tim Story,40,New Line Cinema,R,6.4,32%,111 min,movie,"33,099"
tt5822564,The Kitchen,N/A,USA,"Action, Crime, Drama",Andrea Berloff,35,New Line Cinema,R,5.2,22%,102 min,movie,"6,698"
tt1618434,Murder Mystery,N/A,USA,"Action, Comedy, Crime, Mystery, Romance",Kyle Newacheck,38,Netflix,PG-13,6.0,45%,97 min,movie,"74,879"
tt8663516,Child's Play,N/A,"France, Canada, USA",Horror,Lars Klevberg,48,N/A,R,5.9,NA,90 min,movie,"29,345"
tt8364368,Crawl,N/A,"USA, Serbia, Canada","Action, Drama, Horror, Thriller",Alexandre Aja,60,Paramount Pictures,R,6.2,83%,87 min,movie,"39,093"
tt2499472,Point Blank,N/A,"France, USA","Action, Crime, Thriller",Joe Lynch,37,Netflix,TV-MA,5.6,39%,86 min,movie,"9,059"
tt5598292,Polaroid,N/A,"Canada, Norway, USA","Drama, Horror, Thriller",Lars Klevberg,N/A,Vertical Entertainment,PG-13,5.1,NA,88 min,movie,"5,985"
tt1025100,Gemini Man,N/A,"USA, China","Action, Drama, Sci-Fi, Thriller",Ang Lee,38,Paramount Pictures,PG-13,5.7,26%,117 min,movie,"31,943"
tt7343762,Good Boys,N/A,USA,"Adventure, Comedy",Gene Stupnitsky,60,Universal Pictures,R,6.7,80%,90 min,movie,"30,532"
tt6189022,Angel Has Fallen,N/A,USA,"Action, Thriller",Ric Roman Waugh,45,Lionsgate,R,6.4,39%,121 min,movie,"39,238"
tt7958736,Ma,N/A,"Japan, USA","Horror, Thriller",Tate Taylor,53,Universal Pictures,R,5.6,54%,99 min,movie,"23,727"
tt3361792,Tolkien,N/A,USA,"Biography, Drama, War",Dome Karukoski,48,Fox Searchlight Pictures,PG-13,6.8,51%,112 min,movie,"18,922"
tt5097410,Noelle,N/A,USA,"Comedy, Family, Fantasy",Marc Lawrence,48,N/A,G,6.3,NA,100 min,movie,"4,506"
tt9243946,El Camino: A Breaking Bad Movie,N/A,USA,"Action, Drama",Vince Gilligan,72,Netflix,TV-MA,7.4,91%,122 min,movie,"138,741"
tt5719748,Cold Pursuit,N/A,"UK, Norway, Canada, USA, France, Germany","Action, Crime, Drama, Thriller",Hans Petter Moland,57,Summit Entertainment,R,6.2,70%,119 min,movie,"43,117"
tt1950235,Let It Snow,N/A,USA,"Comedy, Romance",Luke Snellin,51,Netflix,PG-13,5.8,83%,92 min,movie,"11,028"
tt5606664,Doctor Sleep,N/A,"USA, UK","Drama, Fantasy, Horror, Thriller",Mike Flanagan,59,Warner Bros. Pictures,R,7.6,76%,152 min,movie,"36,389"
tt8623904,Last Christmas,N/A,"UK, USA","Comedy, Drama, Romance",Paul Feig,50,Universal Pictures,PG-13,6.6,47%,103 min,movie,"14,450"
tt7798634,Ready or Not,N/A,"Canada, USA","Comedy, Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett",64,Fox Searchlight Pictures,R,6.9,88%,95 min,movie,"43,120"
tt1302006,The Irishman,N/A,USA,"Biography, Crime, Drama",Martin Scorsese,94,Netflix,R,8.2,96%,209 min,movie,"144,536"
tt6924650,Midway,N/A,"USA, China","Action, Drama, History, War",Roland Emmerich,47,Summit Entertainment,PG-13,6.9,43%,138 min,movie,"16,178"
tt5697572,Cats,N/A,"UK, USA","Comedy, Drama, Family, Fantasy, Musical",Tom Hooper,N/A,N/A,PG,N/A,NA,N/A,movie,N/A
tt8096832,Lady and the Tramp,N/A,USA,"Adventure, Comedy, Drama, Family, Musical, Romance",Charlie Bean,48,N/A,PG,6.5,NA,103 min,movie,"2,766"
tt8106534,6 Underground,N/A,USA,"Action, Thriller",Michael Bay,41,Netflix,R,6.2,32%,127 min,movie,"34,632"
