title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt3562494,Primal Instinct,N/A,USA,Action,Stephen Stix Josey,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3861432,Princess Daisy,N/A,USA,"Comedy, Romance",Ian Wallace,N/A,N/A,N/A,2.6,NA,92 min,movie,5
tt3591752,Princess in Another Castle,N/A,USA,"Drama, Fantasy",Kennedy J. Baruch,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3103412,Private Number,N/A,USA,"Horror, Mystery, Thriller",LazRael Lison,N/A,Arc Entertainment,R,4.7,NA,95 min,movie,926
tt2240046,Pro Wrestlers vs Zombies,N/A,USA,"Action, Comedy, Horror, Thriller",Cody Knotts,N/A,N/A,Not Rated,3.6,NA,88 min,movie,405
tt3717684,Profiled,N/A,USA,"Crime, Drama, Mystery",Joy Millana,N/A,N/A,N/A,6.5,NA,95 min,movie,15
tt2570812,Progression,N/A,USA,"Comedy, Romance","Gab Cody(co-director), Sam Turich(co-director)",N/A,N/A,N/A,8.6,NA,85 min,movie,33
tt3396022,Project AvC,N/A,USA,"Action, Comedy",Ryan Edward Shuler,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4017972,Project Cora,N/A,USA,"Comedy, Drama, Romance",London Homer-Wambeam,N/A,N/A,N/A,N/A,NA,93 min,movie,N/A
tt2641066,Project M,N/A,USA,"Biography, Comedy, Crime, Horror, Music","Alex Colonna, Chad Clinton Freeman",N/A,N/A,N/A,5.6,NA,70 min,movie,29
tt3725382,Project SuperHuman,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3478160,Project: User,N/A,USA,Drama,Miles Levin,N/A,N/A,N/A,7.0,NA,73 min,movie,8
tt3422314,The First Line,N/A,"USA, Greece, UK",Drama,"Coerte Voorhees, John Voorhees",N/A,FilmBoy Pictures,N/A,5.4,NA,91 min,movie,183
tt3499966,Prophecy of Eve,N/A,USA,"Action, Thriller",Ron Santiano,N/A,MVD Entertainment Group,N/A,3.4,NA,77 min,movie,28
tt3479564,Prosper,N/A,USA,"Horror, Thriller",Deronte Smith,N/A,N/A,N/A,8.7,NA,93 min,movie,909
