title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt2332623,Fateful Findings,N/A,USA,"Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller",Neil Breen,N/A,N/A,Not Rated,4.7,NA,100 min,movie,"3,639"
tt3278650,Faux Paws,N/A,USA,Comedy,Doug Bari,N/A,N/A,N/A,8.1,NA,92 min,movie,9
tt1971397,Favor,N/A,USA,Thriller,Paul Osborne,N/A,Gravitas,N/A,6.3,NA,102 min,movie,798
tt2966192,Faze,N/A,USA,Drama,Alpheus Joseph,N/A,N/A,N/A,N/A,NA,114 min,movie,N/A
tt7573742,Feed Me,N/A,USA,"Horror, Thriller",Claudia Damasceno,N/A,N/A,NOT RATED,N/A,NA,100 min,movie,N/A
tt2201772,Feeding Mr. Baldwin,N/A,USA,"Comedy, Crime, Thriller",Will Prescott,N/A,N/A,Not Rated,5.6,NA,94 min,movie,109
tt2958316,Feels So Good,N/A,USA,Comedy,Josh Stolberg,N/A,N/A,Not Rated,5.5,NA,81 min,movie,208
tt2402603,Felony,"$185,429","Australia, USA","Crime, Drama, Thriller",Matthew Saville,52,Gravitas Ventures,TV-MA,6.1,70%,105 min,movie,"4,659"
tt3345670,Femrat,N/A,"USA, Albania",Comedy,Rudina Vojvoda,N/A,N/A,N/A,7.5,NA,90 min,movie,340
tt3197696,Fences,N/A,USA,"Drama, Family",Narayanan Kartha,N/A,N/A,N/A,N/A,NA,117 min,movie,N/A
tt2737902,Fetching,N/A,USA,Comedy,N/A,N/A,N/A,N/A,6.2,NA,120 min,movie,16
tt2576508,Fick-le,N/A,USA,Crime,David L. Powell III,N/A,N/A,N/A,N/A,NA,107 min,movie,N/A
tt2378199,Fifth Annual,N/A,N/A,N/A,Teal Greyhavens,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3829652,Fight Dance Sing,N/A,USA,"Action, Comedy, Drama",Kamal Robinson,N/A,N/A,N/A,N/A,NA,107 min,movie,N/A
tt1776946,Fighting for Freedom,N/A,USA,Drama,Farhad Mann,N/A,Grand Entertainment,N/A,5.8,NA,87 min,movie,59
tt3254820,Figure Eight,N/A,USA,"Drama, Music",Joshua Duggan,N/A,N/A,N/A,N/A,NA,102 min,movie,N/A
tt1450321,Filth,"$23,145","UK, Germany, Sweden, Belgium, USA","Comedy, Crime, Drama",Jon S. Baird,56,Magnet Releasing,R,7.1,65%,97 min,movie,"96,291"
tt2802312,Final Footage,N/A,USA,Horror,Randall Rydell Russell,N/A,N/A,N/A,3.4,NA,71 min,movie,5
tt1935090,Final Hours,N/A,USA,"Action, Drama, Thriller",Kyle Karges,N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt2698206,Final Offense,N/A,USA,Thriller,Chase Dudley,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2562726,Final Recourse,N/A,USA,"Drama, Thriller",Barbara Stepansky,N/A,Victory Angel Films,Not Rated,5.3,NA,91 min,movie,354
tt2710368,Final: The Rapture,N/A,"USA, Japan, Argentina, Costa Rica",Thriller,Timothy A. Chey,N/A,River Rain Films,PG-13,5.7,NA,90 min,movie,"1,268"
tt2514128,Find a Way,N/A,USA,Drama,Burgess Jenkins,N/A,N/A,N/A,6.5,NA,89 min,movie,25
tt2219868,Finders Keepers: The Root of All Evil,N/A,USA,"Action, Horror, Thriller",Timothy Woodward Jr.,N/A,HFD Productions,UNRATED,3.7,NA,74 min,movie,107
tt2201760,Finding Faith,N/A,USA,Family,Justin Rossbacher,N/A,JC Films,NOT RATED,6.3,NA,104 min,movie,110
tt2170401,Finding Home,N/A,USA,"Drama, Family","Brett Andrew Christiansen, Ryan Webber",N/A,N/A,N/A,7.8,NA,123 min,movie,5
tt2511506,Finding Hope,N/A,USA,Drama,Carlos Bidó,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt1975158,Finding Joy,N/A,USA,"Comedy, Drama",Carlo De Rosa,N/A,Gravitas Ventures,Not Rated,5.3,NA,96 min,movie,344
tt1916766,Finding Neighbors,N/A,USA,"Comedy, Drama",Ron Judkins,N/A,N/A,Not Rated,6.0,NA,96 min,movie,109
tt2294617,Finley Wade,N/A,USA,Comedy,Melissa Cushman Banczak,N/A,N/A,N/A,N/A,NA,91 min,movie,N/A
tt3062374,Finn & the Sea of Noise,N/A,USA,Drama,Ryan Ohm,N/A,N/A,N/A,8.1,NA,99 min,movie,84
tt2437382,Fireflies,N/A,USA,Drama,J.J. Lask,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7144878,First Love: Breathe Talk to God Listen,N/A,USA,N/A,Jake M. Allen,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2508258,First Period,N/A,USA,Comedy,Charlie Vaughn,N/A,N/A,N/A,6.2,NA,100 min,movie,547
tt2798018,Fish in the Sky,N/A,"China, USA",Drama,Erica Fan,N/A,N/A,N/A,N/A,NA,110 min,movie,N/A
