title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt2075318,#Stuck,N/A,USA,"Comedy, Drama, Romance",Stuart Acher,43,Stuck Productions LLC,N/A,5.6,60%,83 min,movie,"1,020"
tt2477324,#iKllr,N/A,USA,"Horror, Thriller",Jeffrey Coghlan,N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt2106284,$50K and a Call Girl: A Love Story,N/A,USA,"Action, Adventure, Comedy, Drama, Romance",Seth Grossman,N/A,FilmBuff,R,6.8,NA,90 min,movie,"1,826"
tt5135646,'Twas The Night Before Christmas,N/A,USA,"Short, Comedy, Family","Hans Hernke, Randy Kent",N/A,N/A,N/A,N/A,NA,75 min,movie,N/A
tt4533680,...and the Rest is History,N/A,"Germany, New Zealand, Austria, USA","Comedy, Crime, Drama",Niko Kühnel,N/A,N/A,N/A,N/A,NA,89 min,movie,N/A
tt2388856,1 Chance 2 Dance,N/A,USA,"Drama, Family",Adam Deyoe,N/A,WARNER BROTHERS PICTURES,G,4.8,NA,89 min,movie,499
tt2134170,10 Cent Pistol,N/A,USA,"Crime, Thriller",Michael C. Martin,37,N/A,Unrated,4.7,NA,91 min,movie,434
tt2402917,10 Things I Hate About Life,N/A,USA,"Comedy, Romance",Gil Junger,N/A,N/A,N/A,6.9,NA,N/A,movie,22
tt3530690,"10,000 Days",N/A,USA,Sci-Fi,Eric Small,N/A,Bahr Productions,TV-PG,2.7,NA,91 min,movie,595
tt3488056,10.0 Earthquake,N/A,USA,"Drama, Sci-Fi, Thriller",David Gidali,N/A,N/A,PG,3.5,NA,88 min,movie,"1,487"
tt3627828,101: Modern Los Angeles Vampires,N/A,USA,Horror,Stan Harrington,N/A,Xristos Productions,NOT RATED,4.3,NA,78 min,movie,11
tt3073898,108 Stitches,N/A,USA,"Comedy, Romance, Sport",David Rountree,N/A,Freestyle Releasing,R,4.3,NA,118 min,movie,117
tt3187586,11,N/A,"USA, Netherlands","Crime, Drama, Thriller",Janusz Madej,N/A,N/A,N/A,6.2,NA,87 min,movie,5
tt2818632,1108,N/A,USA,Thriller,Dan Brown Jr.,N/A,N/A,N/A,6.2,NA,N/A,movie,8
tt3579698,12 Dog Days Till Christmas,N/A,USA,Family,Charlie Vaughn,N/A,Marvista Entertainment,UNRATED,5.1,NA,90 min,movie,265
tt4386156,12 Til Dusk,N/A,USA,Drama,J. Cameron Keenum,N/A,N/A,N/A,N/A,NA,85 min,movie,N/A
tt3977920,12/10/07: A Dogme 95 film,N/A,USA,Drama,Raven Low Clouds,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt3168890,13 Score,N/A,USA,Horror,D. Max Walters,N/A,N/A,N/A,N/A,NA,75 min,movie,N/A
tt2059171,13 Sins,N/A,USA,"Horror, Thriller",Daniel Stamm,44,Radius-TWC,R,6.3,65%,93 min,movie,"30,391"
tt4104212,14 Days,N/A,USA,"Drama, Romance, Sci-Fi",Joseph Villapaz,N/A,N/A,N/A,7.2,NA,54 min,movie,15
tt3387980,14/88,N/A,USA,"Drama, Romance",Chase Dudley,N/A,N/A,N/A,8.5,NA,N/A,movie,6
tt1212054,16 Stones,N/A,USA,Adventure,Brian Brough,N/A,Candlelight Media Group,PG,4.9,NA,93 min,movie,64
tt3044904,1864,N/A,USA,Drama,Derrick Hammond,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3959542,1870 Texas,N/A,USA,"Action, Adventure, Western",William Booth,N/A,N/A,N/A,N/A,NA,77 min,movie,N/A
tt2431420,2 & Twenty-Six *Reprise*,N/A,USA,"Horror, Thriller",Edward St. Joseph,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
