title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt7953946,Early Women Filmmakers,N/A,USA,N/A,Lois Weber,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt8667692,Earworm: The Musical LIVE!,N/A,USA,N/A,James DeLorean,N/A,N/A,N/A,N/A,NA,65 min,movie,N/A
tt6082386,Ease the Pain,N/A,USA,Thriller,Robert L. Parker III,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6408946,Easter Bunny Adventure,N/A,USA,Animation,Evan Tramel,N/A,N/A,N/A,3.3,NA,74 min,movie,40
tt9486076,Easter Bunny Assassin: Chapter 2 - Santa Claus Crack Dealer,N/A,USA,"Action, Comedy, Crime",Seth Ferranti,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5067958,Easy Living,N/A,USA,"Comedy, Drama, Thriller",Adam Keleman,N/A,Gravitas Ventures,TV-14,4.8,78%,80 min,movie,323
tt8936904,Eaters of the Dead,N/A,USA,N/A,The Existentialist,N/A,N/A,N/A,N/A,NA,60 min,movie,N/A
tt7348194,Egeria: The Letter of the Christ,N/A,USA,History,Stephen Andrew Missick,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2364690,Ekimmu: The Dead Lust,N/A,USA,Horror,Andy Koontz,N/A,N/A,NOT RATED,6.0,NA,N/A,movie,16
tt3255590,El Camino Christmas,N/A,USA,"Comedy, Crime, Western",David E. Talbert,N/A,Netflix,TV-MA,5.6,40%,89 min,movie,"6,342"
tt2705058,El Ganador,N/A,"USA, Mexico",Comedy,Eva Benedikt,N/A,N/A,N/A,N/A,NA,85 min,movie,N/A
tt8566570,El Gran Criollo,N/A,"USA, Peru",N/A,Alex Hidalgo,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7315760,El Sueño Americano,N/A,USA,Drama,Alex Serlof,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7285912,El Ultimo Psiquico,N/A,USA,N/A,Lucy Serrano,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
