title,box_office,country,genre,production,rating,runtime,year
Ride Along,110374905,1,3,Universal Pictures,PG-13,99,2014
Rio 2,113691800,1,5,20th Century Fox,G,101,2014
River of Fundament,43057,1,1,NaN,Unrated,319,2014
Rob the Mob,206909,1,2,Millenium Entertainment,R,104,2014
RoboCop,50666882,1,4,Sony Pictures Releasing,PG-13,117,2014
Rocks in My Pockets,22518,2,3,Zeitgeist Films,NOT RATED,88,2014
Rudderless,56001,1,3,Samuel Goldwyn,R,105,2014
Runoff,7465,1,1,Monterey Media,R,90,2014
Sabotage,8125131,1,4,Open Road Films,R,109,2014
Saving Christmas,2778297,1,2,IPD/Samuel Goldwyn Films,PG,79,2014
Search Party,3073,1,2,Focus World,R,93,2014
The Raid 2,2372192,2,3,Sony Pictures Classics,R,150,2014
Serena,326289,3,3,Magnolia Pictures,R,109,2014
Seventh Son,14945592,4,3,Universal,PG-13,102,2014
Sex Tape,34279302,1,2,Sony Pictures,R,94,2014
Silence,7063885,1,1,Paramount Pictures,Unrated,90,2014
Sin City: A Dame to Kill For,11064709,1,3,Dimension Films,R,102,2014
Six Dance Lessons in Six Weeks,73613,2,2,Dada Films,Unrated,107,2014
Skin Trade,1242,3,3,Magnet Releasing,R,96,2014
Son of God,46305287,1,3,20th Century Fox,PG-13,138,2014
Song One,20200,1,2,Film Arcade,PG-13,86,2014
Spring,29975,1,3,Drafthouse Films,Unrated,109,2014
St. Vincent,33454313,1,2,The Weinstein Company,PG-13,102,2014
Step Up All In,13617501,1,3,Lionsgate,PG-13,112,2014
Suite Fran̤aise,1304622,5,3,The Weinstein Company,Unrated,107,2014
Tammy,51033986,1,2,Warner Bros. Pictures,R,97,2014
Teenage Mutant Ninja Turtles,163911409,1,4,Paramount Pictures,PG-13,101,2014
That Awkward Moment,23264422,1,2,Focus Features,R,94,2014
The Amazing Spider-Man 2,183277573,1,3,Sony Pictures,PG-13,142,2014
The Bag Man,48817,2,4,Cinedigm Entertainment,R,108,2014
The Best of Me,21984384,1,2,Relativity Media,PG-13,118,2014
The Boxtrolls,52098992,1,5,Focus Features,PG,96,2014
The Disappearance of Eleanor Rigby: Them,402191,1,2,The Weinstein Company,R,123,2014
The Drop,8709169,1,2,Fox Searchlight,R,106,2014
The Equalizer,85212969,1,3,Sony Pictures,R,132,2014
The Expendables 3,34742878,4,3,Lionsgate Pictures,PG-13,126,2014
The Gambler,18884667,1,3,Paramount Pictures,R,111,2014
The Giver,33480518,3,3,The Weinstein Company,PG-13,97,2014
The Grand Budapest Hotel,56939515,2,3,Fox Searchlight,R,99,2014
The Guest,642285,2,6,Picturehouse Films,R,100,2014
The Hero of Color City,32048,3,2,Magnolia Pictures,G,77,2014
The Hobbit: The Battle of the Five Armies,187747747,2,2,Warner Bros.,PG-13,144,2014
The Homefront,12641119,1,3,Open Road Films,Unrated,82,2014
The Hundred-Foot Journey,46214579,3,2,Walt Disney Pictures,PG,122,2014
The Hunger Games: Mockingjay - Part 1,295457212,1,4,Lionsgate Films,PG-13,123,2014
The Hangover,277313371,2,1,Warner Bros. Pictures,R,100,2014
The Hunger Games,407981652,1,4,Lionsgate,PG-13,142,2014
The Identical,2817092,1,2,Freestyle Releasing,PG,107,2014
The Interview,4551688,1,3,Sony Pictures,R,112,2014
The Judge,35631470,1,2,Warner Bros. Pictures,R,141,2014
The Keeping Room,27166,1,2,Drafthouse Films,R,95,2014
The Legend of Hercules,14739982,1,3,Lionsgate Films,PG-13,99,2014
The Lego Movie,244870202,3,6,Warner Bros. Pictures,PG,100,2014
The Letters,1053288,1,1,Freestyle Releasing,PG,114,2014
The Living,5374,1,4,Monterey Media Inc.,R,89,2014
The Loft,4409157,2,3,Open Road Films,R,108,2014
The M Word,125345,1,2,M Word LLC.,R,117,2014
The Maze Runner,98537272,2,4,20th Century Fox,PG-13,113,2014
The Monuments Men,67239378,2,4,Sony Pictures,PG-13,118,2014
The One I Love,511635,1,6,Radius-TWC,R,91,2014
The One I Wrote for You,48643,1,3,Abramorama Entertainment,PG,110,2014
The Other Woman,77860761,1,2,20th Century Fox,PG-13,109,2014
The Prophet,217451,5,2,GKIDS,PG,85,2014
The Pyramid,2325230,2,5,20th Century Fox,R,89,2014
The Rewrite,324889,1,2,RLJE/Image Entertainment,Unrated,107,2014
The Rover,709133,2,2,A24 Films,R,103,2014
The Signal,402321,1,4,Focus Features,PG-13,97,2014
The Single Moms Club,15986272,1,2,Lionsgate Films,PG-13,111,2014
The Sleepwalker,2636,2,1,IFC Films,Unrated,91,2014
The Song,5520506,1,3,IDP/ Samuel Goldwyn Films,PG-13,116,2014
The Theory of Everything,35887263,3,3,Focus Features,PG-13,123,2014
The Two Faces of January,1638101,3,2,Magnolia Pictutures,PG-13,96,2014
The Visitor,81276,1,1,Cinedigm Digital Cinema,Unrated,0,2014
This Is Where I Leave You,26730317,1,2,Warner Bros. Pictures,R,103,2014
Top Five,17002433,1,2,Paramount Pictures,R,102,2014
Transcendence,23014504,3,3,Warner Bros. Pictures,PG-13,119,2014
Transformers: Age of Extinction,206755538,3,3,Paramount Pictures,PG-13,165,2014
The Virus,1580106,1,3,Sony Pictures,NOT RATED,96,2014
Two-Bit Waltz,2051,1,3,Monterey Media,R,81,2014
Of Mind and Music,15073,1,2,Monterey Media,PG-13,98,2014
Unbroken,70500647,1,4,Universal Pictures,PG-13,137,2014
Unfriended,31354666,2,3,Universal Pictures,R,83,2014
Unsullied,8220,1,3,Lambert Releasing,R,93,2014
Vampire Academy,7508090,2,7,The Weinstein Company,PG-13,104,2014
Veronica Mars,2664765,4,4,Warner Bros.,PG-13,107,2014
Walk of Shame,39751,1,1,Focus Features,R,95,2014
Walking on Sunshine,618328,3,4,eOne Entertainment,Unrated,97,2014
While We're Young,7008208,1,3,A24,R,97,2014
Wild,24673716,1,2,20th Century Fox,R,115,2014
Wild Canaries,5726,1,3,IFC Films,NOT RATED,96,2014
Winter's Tale,10628616,1,4,Warner Bros. Pictures,PG-13,118,2014
X-Men: Days of Future Past,199305306,3,4,20th Century Fox,PG-13,132,2014
X/Y,154374,1,1,eOne Entertainment,Unrated,82,2014
Zombeavers,14947,1,6,Freestyle Releasing,R,77,2014
