title,box_office,country,genre,production,rating,runtime,year
22 Jump Street,154295930,1,3,Sony Pictures,R,112,2014
23 Blast,485128,1,3,Ocean Avenue Entertainment,PG-13,98,2014
3 Nights in the Desert,1279,1,1,Monterey Media Inc.,R,90,2014
300: Rise of an Empire,91024535,1,2,Warner Bros. Pictures,R,102,2014
5 to 7,117066,1,3,IFC Films,R,95,2014
50 to 1,1063723,1,1,Ten Furlongs LLC.,PG-13,110,2014
A Bit of Bad Luck,6104,1,3,Indican Pictures,Unrated,86,2014
A Haunted House 2,13710572,1,2,Open Road Films,R,86,2014
A Matter of Faith,660659,1,1,Truman Scott Films,PG,89,2014
A Million Ways to Die in the West,37331031,1,2,Universal Pictures,R,116,2014
A Most Wanted Man,14037964,3,3,Lionsgate/Roadside Attractions,R,122,2014
About Last Night,39477140,1,2,Sony Pictures,R,100,2014
Addicted,17382982,1,2,Lionsgate,R,106,2014
Adult Beginners,104415,1,2,Radius,R,92,2014
Aftermath,2955,1,1,Freestyle Releasing,Unrated,65,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",56752482,1,2,Walt Disney Pictures,PG,81,2014
Algorithm,1360,1,3,First Run Features,Unrated,91,2014
Alien Abduction,10514,1,3,IFC Films,Unrated,85,2014
Allure,1918,1,1,NaN,TV-14,83,2014
American Sniper,274377268,1,4,Warner Bros.,R,133,2014
Amira & Sam,31849,1,3,Drafthouse Films,Unrated,90,2014
And So It Goes,10482672,1,3,Clarius Entertainment,PG-13,94,2014
Animals,12000,1,1,Oscilloscope Pictures,Unrated,90,2014
Annie,58614089,1,4,Sony Pictures,PG,118,2014
As It Is in Heaven,9910,1,1,Cinema Purgatorio,Unrated,86,2014
Barefoot,11766,1,3,Roadside Attractions,PG-13,90,2014
Before I Disappear,2676,2,1,IFC Films,Unrated,93,2014
Before We Go,22522,1,3,Radius,PG-13,95,2014
Belle,8792708,1,2,Fox Searchlight,Unrated,52,2014
Better Living Through Chemistry,51772,2,2,IDP/Samuel goldwyn Films,Unrated,91,2014
Beyond the Lights,14617945,1,3,Relativity Media,PG-13,116,2014
Beyond the Reach,32050,1,1,Roadside Attractions,R,91,2014
Big Eyes,8021168,2,4,The Weinstein Company,PG-13,106,2014
Black or White,15504419,1,1,Relativity Media,PG-13,121,2014
Boulevard,46743,2,1,Starz,R,88,2014
Boy Meets Girl,20289,1,3,Wolfe Releasing,R,95,2014
Boychoir,191891,2,2,Informant Media,Unrated,103,2014
Boyhood,18859617,1,1,IFC Films,R,165,2014
Cake,1319947,1,1,Cinelou Films,R,102,2014
Camp X-Ray,9837,1,2,IFC Films,R,117,2014
Captain America: The Winter Soldier,228636083,1,3,Walt Disney Pictures,PG-13,136,2014
Cesar Chavez,5550866,2,2,Pantelion Films,PG-13,102,2014
Chef,23678226,1,3,Open Road Films,R,114,2014
Christian Mingle,19836,1,2,Rocky Mountain Pictures,PG,103,2014
Clown,51809,2,4,"Dimension Films, Anchor Bay Entertainment",R,100,2014
Come Back to Me,4156,1,4,Freestyle Releasing,R,90,2014
Dawn of the Planet of the Apes,183278877,3,4,20th Century Fox,PG-13,130,2014
Days and Nights,6003,1,2,IFC Films,Unrated,92,2014
Deliver Us from Evil,18871466,1,3,Sony Pictures,R,118,2014
Divergent,129520735,1,4,Lionsgate Films/Summit Entertainment,PG-13,139,2014
Draft Day,21105891,1,2,Summit Entertainment,PG-13,110,2014
Edge of Tomorrow,77121429,2,2,Warner Bros. Pictures,PG-13,113,2014
Every Secret Thing,97020,1,4,Starz Digital Media,R,93,2014
Foxcatcher,9744477,1,3,Sony Pictures Classics,R,134,2014
Freedom,124356,1,2,Arc Entertainment,R,94,2014
Frontera,59306,1,3,Magnolia Pictures,PG-13,103,2014
Fury,72609225,3,3,Sony Pictures,R,134,2014
Gabriel,2124,1,3,Oscilloscope Pictures,Unrated,85,2014
Get Santa,1757892,2,2,Warner Bros. Pictures International,PG,102,2014
Get on Up,22838662,2,3,Universal Pictures,PG-13,139,2014
Gimme Shelter,1359563,1,1,Roadside Attractions,PG-13,101,2014
God's Not Dead,60753735,1,1,Pure Flix Entertainment,PG,113,2014
God's Pocket,97040,1,2,IFC Films,R,88,2014
Godzilla,172962996,2,4,Warner Bros Pictures,PG-13,123,2014
Guardians of the Galaxy,270592504,1,4,Walt Disney Pictures,PG-13,121,2014
Happy Christmas,28853,1,2,Magnolia Pictures,R,82,2014
Heaven Knows What,80013,1,1,Radius,R,97,2014
Hellion,46110,1,2,IFC Films,R,99,2014
Hercules,59445889,2,3,Paramount Pictures,PG-13,98,2014
Hits,15156,1,2,Honora Productions,Unrated,96,2014
Honeymoon,9168,1,3,Magnolia Pictures/Magnet Releasing,R,87,2014
Horrible Bosses 2,39939072,1,2,Warner Bros. Pictures,R,108,2014
How to Train Your Dragon 2,147065544,1,5,20th Century Fox,PG,102,2014
"I, Frankenstein",15687400,2,5,Lionsgate Films,PG-13,92,2014
Inherent Vice,6100613,1,5,Warner Bros. Pictures,R,148,2014
Interstellar,158737441,3,3,Paramount Pictures,PG-13,169,2014
Into the Storm,40613055,1,4,Warner Bros. Pictures,PG-13,89,2014
Into the Woods,89789227,1,5,Walt Disney Pictures,PG,125,2014
It Follows,10705259,1,3,Radius-TWC,R,100,2014
Jack Ryan: Shadow Recruit,43003831,2,3,Paramount Pictures,PG-13,105,2014
Jinn,149337,1,3,Freestyle Releasing,PG-13,97,2014
Julia,2110,1,2,Archstone Distribution,R,95,2014
Just Before I Go,8129,1,2,A24 Films,R,95,2014
Kill the Messenger,2445646,1,5,Focus Features,R,112,2014
Kingsman: The Secret Service,119469511,2,4,20th Century Fox,R,129,2014
Land Ho!,727430,2,2,Sony Pictures Classics,R,95,2014
Last Weekend,2661,1,2,IFC Films,Unrated,94,2014
Left Behind,10649893,2,5,Freestyle Releasing,PG-13,110,2014
Life Partners,7563,1,3,Magnolia Pictures,R,93,2014
"Like Sunday, Like Rain",27623,1,2,Monterey Media,R,104,2014
Little Accidents,5479639,1,1,Amplify Films,Unrated,105,2014
Love & Mercy,8790100,1,3,Roadside Attractions,PG-13,121,2014
Love Is Strange,1932818,2,2,Sony Pictures Classics,R,94,2014
Lucy,108521370,4,3,Universal Pictures,R,89,2014
Madame Bovary,183185,3,1,Alchemy,R,118,2014
Maleficent,190871149,1,5,Walt Disney Pictures,PG,97,2014
Manglehorn,63602,1,1,IFC Films,PG-13,97,2014
Maps to the Stars,338190,4,2,Focus Features,R,111,2014
Match,30469,1,2,IFC Films,R,92,2014
Meet Me in Montenegro,7367,5,3,The Orchard,NOT RATED,90,2014
"Men, Women & Children",536272,1,2,Paramount Pictures,R,119,2014
Mr. Peabody & Sherman,101784999,1,5,20th Century Fox,PG,92,2014
Muppets Most Wanted,46429909,1,6,Walt Disney Pictures,PG,107,2014
Need for Speed,40138026,2,3,Walt Disney Studios,PG-13,132,2014
Neighbors,134413041,1,1,Universal Pictures,R,97,2014
Night at the Museum: Secret of the Tomb,81522782,2,4,20th Century Fox,PG,98,2014
No Good Deed,42428931,1,5,Sony/Screen Gems,PG-13,84,2014
Noah,101160529,1,5,Paramount Pictures,PG-13,138,2014
Non-Stop,80432029,4,3,Universal Pictures,PG-13,106,2014
Ouija,43513891,1,3,Universal Pictures,PG-13,89,2014
Paddington,85879985,3,4,The Weinstein Company,PG,95,2014
Paranormal Activity: The Marked Ones,28605090,1,3,Paramount Pictures,R,84,2014
Pawn Sacrifice,1696603,1,4,Bleecker Street,PG-13,115,2014
Penguins of Madagascar,70727688,1,5,DreamWorks Animation,PG,92,2014
Persecuted,1557494,1,4,Millennium Entertainment,PG-13,91,2014
Planes: Fire & Rescue,42622300,1,4,Walt Disney Pictures,PG,83,2014
Pompeii,19919371,3,5,Sony Pictures,PG-13,105,2014
Postman Pat,1628568,2,3,Shout! Factory,Unrated,88,2014
Predestination,201560,2,5,Sony Pictures,R,97,2014
