title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt3784230,Evan's Crime,N/A,USA,Drama,Sandy Tung,N/A,N/A,Not Rated,5.3,NA,95 min,movie,110
tt8929768,Evangelista Sin Credencial,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3362234,Eventide,N/A,USA,Drama,Dimitri Voutsinos,N/A,N/A,N/A,N/A,NA,86 min,movie,N/A
tt2250418,Ever After: Resurrection,N/A,USA,"Action, Crime, Drama",Fernando A. Mico,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt2719848,Everest,"$46,529,055","UK, USA, Iceland","Action, Adventure, Biography, Drama, Thriller",Baltasar Kormákur,64,Universal Pictures,PG-13,7.1,73%,121 min,movie,"185,872"
tt3537212,Everto,N/A,USA,"Drama, Horror, Mystery",Antoine McKnight,N/A,N/A,N/A,4.4,NA,114 min,movie,33
tt4863580,Every Family Has Problems,N/A,USA,Drama,Emmbre Perry,N/A,N/A,NOT RATED,N/A,NA,89 min,movie,N/A
tt4401704,Everything Before Us,N/A,USA,"Drama, Romance","Wesley Chan, Philip Wang",N/A,Wong Fu Productions,Unrated,7.0,NA,99 min,movie,947
tt5297660,Everything You Know is Backwards,N/A,USA,"Drama, Horror, Thriller",John Chris Lopez,N/A,N/A,N/A,N/A,NA,103 min,movie,N/A
tt1964608,Everything's Gonna Be Pink,N/A,USA,Drama,Roni Ezra,N/A,N/A,N/A,N/A,NA,100 min,movie,N/A
tt4817640,Evil Bong 420,N/A,USA,"Comedy, Horror",Charles Band,N/A,N/A,Not Rated,3.9,NA,53 min,movie,198
tt4786796,Evil Law,N/A,USA,History,Anthony Jones,N/A,N/A,NOT RATED,N/A,NA,140 min,movie,N/A
tt4469210,Evil Undoings,N/A,USA,"Comedy, Talk-Show",Emily Kathleen,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3910688,Scream for Me,N/A,USA,Horror,Johnny Kearns,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6002234,Evolution of the Mind,N/A,USA,N/A,0010x0010,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2004216,I Really Hate My Ex,N/A,USA,Romance,Troy Byer,N/A,LionsGate Entertainment,R,6.5,NA,86 min,movie,41
tt3468698,Excess Flesh,N/A,USA,"Drama, Horror, Thriller",Patrick Kennelly,N/A,Midnight Releasing,Not Rated,3.7,NA,103 min,movie,669
tt1945044,Exeter,N/A,USA,"Horror, Mystery, Thriller",Marcus Nispel,N/A,Viva Pictures,R,4.5,NA,91 min,movie,"5,239"
tt4423726,Exeter Trek,N/A,USA,Sci-Fi,Wayland Strickland,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5108996,Exhibition Day,N/A,USA,"Comedy, Drama",Armando Lamberti,N/A,N/A,N/A,N/A,NA,78 min,movie,N/A
tt4807008,Expect Delays,N/A,USA,Drama,Dan Steadman,N/A,N/A,N/A,N/A,NA,85 min,movie,N/A
tt3726704,Experimenter,"$155,075",USA,"Biography, Drama, History",Michael Almereyda,81,Magnolia Pictures,PG-13,6.6,85%,98 min,movie,"16,480"
tt4533604,Exposure,N/A,USA,"Drama, Horror, Thriller",Colten Dietz,N/A,N/A,N/A,4.0,NA,90 min,movie,30
tt3467412,Extinction,N/A,"Spain, USA, Hungary, France","Drama, Horror, Sci-Fi",Miguel Ángel Vivas,46,Vertical Entertainment,R,5.8,20%,112 min,movie,"15,031"
tt3304610,Extraction,N/A,USA,"Action, Crime, Thriller",Tim Kirkpatrick,N/A,Lionsgate Premiere,N/A,5.1,6%,N/A,movie,16
tt4382872,Extraction,N/A,"USA, UK, Canada","Action, Thriller",Steven C. Miller,25,Lionsgate Premiere,R,4.1,6%,82 min,movie,"9,002"
tt4041022,Extracurricular Activities,N/A,USA,Comedy,Leigh Scott,N/A,N/A,N/A,5.8,NA,N/A,movie,9
tt3900610,Extreme the Movie,N/A,USA,Drama,Michaux Muanda,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt1276953,Extremely Used Cars: There Is No Hope,N/A,USA,"Comedy, Crime, Drama",Craig Richards,N/A,N/A,R,6.3,NA,92 min,movie,27
tt4126038,Eyes of the Moon,N/A,USA,Fantasy,Divine Femininity,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3498620,Ezekiel's Landing,N/A,USA,"Drama, Sci-Fi, Thriller",James Treakle,N/A,N/A,NOT RATED,8.2,NA,85 min,movie,11
tt4917826,Facsimile,N/A,USA,"Horror, Sci-Fi",Richard Powers,N/A,N/A,N/A,N/A,NA,80 min,movie,N/A
tt4321284,Faith Under Fire,N/A,USA,Drama,Joseph Goncalves,N/A,N/A,N/A,N/A,NA,57 min,movie,N/A
tt1322393,Faith of Our Fathers,"$975,344",USA,Drama,Carey Scott,20,Pure Flix,PG-13,3.6,10%,96 min,movie,564
tt4500956,Fake,N/A,USA,Comedy,Jacopo Manfren,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5175568,Fallen Weeping,N/A,USA,Fantasy,Sue Ellen Randolph,N/A,N/A,N/A,N/A,NA,83 min,movie,N/A
tt4241982,Family First the Marshawn Lynch Story,N/A,USA,Biography,Mario Bobino,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3152364,Family Party,N/A,USA,"Comedy, Drama, Family, Romance",Pari Mathur,N/A,N/A,Unrated,5.3,NA,52 min,movie,29
tt1700807,Family Secret,N/A,USA,"Horror, Mystery, Thriller",Geno McGahee,N/A,N/A,N/A,4.8,NA,111 min,movie,34
tt3808108,Family Tree,N/A,USA,Comedy,Karen Anderson,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5040282,Fangboner,N/A,USA,"Comedy, Horror",Nathan Rumler,N/A,N/A,N/A,5.4,NA,90 min,movie,43
tt5243688,Fantasmes Erotiques de Femmes,N/A,USA,Animation,Jack Foster,N/A,N/A,N/A,N/A,NA,84 min,movie,N/A
tt1502712,Fantastic Four,"$49,179,296","USA, Germany, UK","Action, Adventure, Drama, Sci-Fi",Josh Trank,27,20th Century Fox,PG-13,4.3,9%,100 min,movie,"143,661"
tt4514084,Far Too Far,N/A,USA,"Action, Crime, Drama, Thriller",Justin Hunt,N/A,N/A,N/A,8.1,NA,117 min,movie,87
tt2935476,Far from the Madding Crowd,N/A,"UK, USA","Drama, Romance",Thomas Vinterberg,71,20th Century Fox,PG-13,7.1,85%,119 min,movie,"42,344"
tt4669574,"Farewell, FamiKamen Rider",N/A,USA,"Action, Comedy, Drama",Kaylyn Dicksion,N/A,N/A,N/A,N/A,NA,120 min,movie,N/A
tt4863224,Faster Than the Speed of Light,N/A,USA,Drama,Aki Aleong,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5155744,"Faster, More Blood",N/A,USA,"Action, Fantasy, Thriller",N/A,N/A,N/A,N/A,N/A,NA,80 min,movie,N/A
tt4472664,Fates of Ambition,N/A,USA,Drama,Wister Gaetan,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2582502,Fathers & Daughters,N/A,"Italy, USA",Drama,Gabriele Muccino,31,Voltage Pictures,R,7.1,28%,116 min,movie,"21,918"
tt5206388,Fearsville,N/A,USA,Horror,Joseph Aguon Drake,N/A,N/A,N/A,5.2,NA,75 min,movie,12
tt4248926,Feeling Goode,N/A,USA,Drama,Josef Cannon,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7224416,Felonious Nature,N/A,USA,N/A,Sergio Acosta,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt4093026,Female Pervert,N/A,USA,"Comedy, Drama",Jiyoung Lee,N/A,N/A,NOT RATED,6.5,NA,63 min,movie,24
tt4255252,Female Werewolf,N/A,"Canada, USA",Horror,Chris Alexander,N/A,N/A,N/A,2.4,NA,65 min,movie,94
tt4643408,Fess Up,N/A,USA,Drama,Stephen R. Reynolds,N/A,N/A,N/A,N/A,NA,129 min,movie,N/A
tt4914264,Fester,N/A,USA,Horror,Emir Skalonja,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2477218,Field of Lost Shoes,N/A,USA,"Action, Drama, War",Sean McNamara,28,Bosch Media,PG-13,5.7,40%,96 min,movie,"1,475"
tt5170700,Fields of the Damned 2: Legacy,N/A,USA,"Comedy, Horror, Sci-Fi",Nick Holley,N/A,N/A,N/A,N/A,NA,60 min,movie,N/A
tt2322441,Fifty Shades of Grey,"$189,859,585",USA,"Drama, Romance, Thriller",Sam Taylor-Johnson,46,Focus Features,R,4.1,25%,125 min,movie,"285,618"
tt3645918,Final Act,N/A,USA,Horror,"Michael E. Cullen II, Chad Zuver",N/A,N/A,N/A,5.7,NA,N/A,movie,6
tt2124787,Final Girl,N/A,"Canada, USA","Horror, Thriller",Tyler Shields,N/A,Cinedigm Entertainment,R,4.7,31%,90 min,movie,"12,837"
tt4809166,Finding Home,N/A,USA,Drama,Nick Westfall,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3603758,Finding Hope,N/A,USA,"Drama, Family, Romance",Julian Grant,N/A,N/A,N/A,8.4,NA,105 min,movie,35
tt4893194,Fine Housekeep,N/A,USA,Horror,Trevor Bather,N/A,N/A,N/A,N/A,NA,57 min,movie,N/A
tt2426490,Fingerprints,N/A,USA,"Comedy, Drama, Thriller",Robyn Charles,N/A,N/A,N/A,N/A,NA,112 min,movie,N/A
tt3383214,Fire City: End of Days,N/A,USA,"Fantasy, Horror, Thriller",Tom Woodruff Jr.,N/A,Okay By Me Productions,N/A,4.8,NA,101 min,movie,647
tt3350436,Fire Twister,N/A,"USA, Canada","Action, Adventure, Drama, Sci-Fi, Thriller",George Erschbamer,N/A,Cinetel Films,N/A,2.5,NA,85 min,movie,431
