title,box_office,country,genre,production,rating,runtime,year
3 Generations,66371,1,1,The Weinstein Company,PG-13,92,2015
A Beautiful Now,1504,1,3,Unified Pictures,R,90,2015
A Tale of Love and Darkness,569381,2,6,Focus World,PG-13,95,2015
A Walk in the Woods,19189413,1,4,Broad Green Pictures,R,104,2015
Aloha,15669178,1,3,Sony Pictures,PG-13,105,2015
Alvin and the Chipmunks: The Road Chip,66580191,1,6,20th Century Fox,PG,92,2015
Anesthesia,22386,1,2,IFC Films,R,90,2015
Ant-Man,138002223,1,4,Disney/Marvel,PG-13,117,2015
Ashby,4631,1,4,The Film Arcade,R,100,2015
Avengers: Age of Ultron,429113729,1,3,Walt Disney Pictures,PG-13,141,2015
Beasts of No Nation,83861,1,2,Netflix,Unrated,137,2015
Being Charlie,11872,1,2,Castle Rock Entertainment,R,97,2015
Beyond the Mask,1231025,1,4,Freestyle Releasing,PG,103,2015
Black Mass,48786443,2,3,Warner Bros Pictures,R,123,2015
Blackhat,5686515,1,3,Universal Studios,R,133,2015
Body,2457,1,3,Oscilloscope Pictures,Unrated,75,2015
Brotherly Love,46290,1,1,Freestyle Releasing,R,89,2015
Burning Bodhi,3289,1,1,NaN,R,93,2015
By the Sea,319968,3,2,Universal Pictures,R,122,2015
Captive,1963974,2,4,Paramount Pictures,PG-13,97,2015
Captives,1963974,1,3,Paramount Pictures,Unrated,81,2015
Carol,8518148,2,2,The Weinstein Company,R,118,2015
Carter High,146040,1,3,Play Now Enterprise,PG-13,110,2015
Chi-Raq,2647378,1,4,LionsGate Entertainment,R,127,2015
Child 44,1314609,4,4,Summit Entertainment,R,137,2015
Chocolate City,212223,1,1,Freestyle Releasing,R,91,2015
Christmas Eve,81992,1,1,Unstuck,PG,95,2015
Cinderella,183327144,2,4,Walt Disney Pictures,PG,105,2015
Coming Through the Rye,4000,1,1,Red Hat Films,PG-13,97,2015
Concussion,23268108,3,3,Sony Pictures,PG-13,123,2015
Cop Car,128002,1,2,Focus World,R,88,2015
Creed,81157671,1,2,Warner Bros.,PG-13,133,2015
Crimson Peak,25957696,2,6,Universal Pictures,R,119,2015
Danny Collins,4242318,1,4,Bleecker Street Films,R,106,2015
Dark Places,129483,3,4,A24 and DIRECTV,R,113,2015
David and Goliath,161000,1,4,RiverRain Productions,PG,92,2015
Demolition,1656098,1,2,Fox Searchlight,R,101,2015
