title,box_office,country,genre,production,rating,runtime,year
Digging for Fire,119364,1,1,The Orchard,R,85,2015
Do You Believe?,9172156,1,1,Freestyle Releasing,PG-13,120,2015
Top Cat Begins,139568,5,2,Viva Entertainment,PG,89,2015
Don Verdean,30525,1,3,Lionsgate Films,PG-13,90,2015
Dope,11674449,1,3,Open Road Films,R,103,2015
Eddie the Eagle,20047049,3,4,20th Century Fox,PG-13,106,2015
Entertainment,55506,1,1,Magnolia Pictures,R,103,2015
Everest,46529055,3,5,Universal Pictures,PG-13,121,2015
Experimenter,155075,1,3,Magnolia Pictures,PG-13,98,2015
Faith of Our Fathers,975344,1,1,Pure Flix,PG-13,96,2015
Fantastic Four,49179296,3,4,20th Century Fox,PG-13,100,2015
Fifty Shades of Grey,189859585,1,3,Focus Features,R,125,2015
Five Nights in Maine,15138,1,1,Loveless Entertainment,Unrated,82,2015
Flowers,59477,1,3,Music Box Films,Unrated,79,2015
Focus,50265541,2,4,Warner Bros. Pictures,R,105,2015
Freetown,7916886,2,4,Purdie Distribution,PG-13,113,2015
Furious,316986481,1,1,Universal Pictures,Unrated,0,2015
Furious 7,316986481,5,3,Universal Pictures,PG-13,137,2015
Golden Kingdom,8077,2,1,Alive Mind,Unrated,104,2015
Growing Up Smith,14867,1,3,Good Deed Entertainment,PG-13,102,2015
Goosebumps,76079946,2,5,Sony Pictures,PG,103,2015
Green Room,3219029,1,3,A24 Films,R,95,2015
Hayride 2,1668,1,3,Freestyle Releasing,R,92,2015
Heist,28688,1,4,Emmett/Furla Films,R,93,2015
Heist,28688,1,1,Emmett/Furla Films,Unrated,47,2015
Hell and Back,156166,1,4,Freestyle Releasing LLC.,R,86,2015
"Hello, My Name Is Doris",14443077,1,3,Red Crown Productions,R,90,2015
Home,157801252,1,6,DreamWorks Animation,PG,94,2015
Home Run Showdown,8824,1,2,Image Entertainement,Unrated,94,2015
Hot Pursuit,26863875,1,3,Warner Bros. Pictures,PG-13,87,2015
I Smile Back,50092,1,1,Broad Green Pictures,R,85,2015
In the Heart of the Sea,19043843,3,5,Warner Bros. Pictures,PG-13,122,2015
Inside Out,264317903,1,6,Disney/Pixar,PG,95,2015
Insurgent,114138208,1,4,Lionsgate Films,PG-13,119,2015
James White,101368,1,1,The Film Arcade,R,85,2015
Jane Got a Gun,976847,1,3,Relativity Media,R,98,2015
Joy,42581369,1,1,20th Century Fox,PG-13,124,2015
Jupiter Ascending,43733037,2,3,Warner Bros. Pictures,PG-13,127,2015
Jurassic World,528757749,1,3,Universal Pictures,PG-13,124,2015
Knock Knock,285363,3,2,Lionsgate Premiere,R,99,2015
Know How,2414,1,2,First Run Features,Unrated,106,2015
Krisha,143978,1,1,A24 Films,R,83,2015
L.A. Slasher,2421,2,4,Archstone Distribution,R,86,2015
Ladrones,3058367,2,1,Pantelion Films,PG-13,97,2015
Lazer Team,1149878,1,3,Rooster Teeth Productions,PG-13,102,2015
Legend,14146549,3,4,Universal Studios,R,132,2015
Lila & Eve,21806,1,4,Samuel Goldwyn Films,R,94,2015
Little Boy,4902290,2,3,Open Road Films,PG-13,106,2015
Macbeth,1795802,3,3,The Weinstein Company,R,113,2015
Mad Max: Fury Road,129483877,3,4,Warner Bros.,R,120,2015
Maggie,136397,2,2,Lionsgate Films,PG-13,95,2015
Man Up,857215,1,1,LionsGate Entertainment,Unrated,73,2015
Max,26714191,1,4,Warner Bros. Pictures,PG,111,2015
Memoria,2164,1,2,RabbitBandini Productions,R,70,2015
Men Go to Battle,17950,1,3,Film Movement,Unrated,98,2015
Minions,277969969,1,5,Universal Pictures,PG,91,2015
Mission: Impossible - Rogue Nation,154979949,4,3,Paramount Pictures,PG-13,131,2015
Mississippi Grind,129747,1,2,A24 and DIRECTV,R,108,2015
Mortdecai,6847536,2,5,Liongate Films,R,107,2015
Mr. Holmes,14173994,2,2,Roadside Attractions,PG,104,2015
Mr. Right,25369,1,3,Circle of Confusion,R,95,2015
Mr. Right,25369,1,1,Circle of Confusion,Unrated,79,2015
My All-American,1365000,1,3,Aviron,PG,118,2015
Nasty Baby,79800,2,1,The Orchard,R,101,2015
No Escape,27274112,1,2,The Weinstein Company,R,103,2015
All Creatures Big and Small,1850924,5,3,Phase 4 Films,G,87,2015
Our Brand Is Crisis,4895965,1,2,Warner Bros. Pictures,R,107,2015
Pan,35914825,3,4,Warner Bros.,PG,111,2015
People Places Things,30768,1,2,The Film Arcade,R,85,2015
Pitch Perfect 2,165744048,1,2,Universal Pictures,PG-13,115,2015
Pixels,66412009,3,3,Sony Pictures,PG-13,105,2015
Poltergeist,39918054,1,2,20th Century Fox,PG-13,93,2015
Puerto Ricans in Paris,90884,1,1,Focus World,R,82,2015
Rock the Kasbah,1940202,1,3,Open Road Films,R,106,2015
Room,14677654,4,2,Element Pictures,R,118,2015
San Andreas,127666001,1,4,Warner Bros.,PG-13,114,2015
Scouts Guide to the Zombie Apocalypse,3931256,1,3,Broken Road Productions,R,93,2015
Seoul Searching,8966,3,4,Wonder Vision,TV-MA,105,2015
Sisters,66652373,1,1,Universal Pictures,R,118,2015
Slow Learners,21080,1,2,IFC Films,Unrated,96,2015
Solace,403050,1,4,Lionsgate Premiere,R,101,2015
Songs My Brothers Taught Me,34195,1,1,Highwayman Films,Unrated,98,2015
Southpaw,42373328,2,2,The Weinstein Company,R,124,2015
Spectre,208777731,2,3,Sony Pictures,PG-13,148,2015
Spy,89914425,5,3,20th Century Fox,R,120,2015
Star Wars: Episode VII - The Force Awakens,936658640,1,3,Walt Disney Pictures,PG-13,138,2015
Steve Jobs,12403169,2,2,Universal Pictures,R,122,2015
Straight Outta Compton,129402415,1,4,Universal Pictures,R,147,2015
Straight Outta Tompkins,8022,1,1,Indican Pictures,Unrated,92,2015
Strange Magic,10201634,1,7,Walt Disney Pictures,PG,99,2015
The Fast and the Furious,142542950,2,3,Universal Pictures,PG-13,106,2015
Survivor,130307,2,3,Alchemy,PG-13,96,2015
Take Me to the River,27938,1,1,NaN,Unrated,84,2015
Ted 2,63883740,1,1,Universal Pictures,R,115,2015
Terminator Genisys,75614989,1,3,Paramount Pictures,PG-13,126,2015
The Adderall Diaries,11287,1,3,A24 and DIRECTV,R,87,2015
The Bronze,614920,1,3,Relativity Entertainment,R,100,2015
The Duff,30777437,1,2,Lionsgate Films,PG-13,101,2015
The Family Fang,15335,1,3,Red Crown Productions,R,105,2015
The Fits,166425,1,2,La Biennale di Venezia,Unrated,72,2015
The Gift,33061006,3,3,STX Entertainment,R,108,2015
The Girl in the Book,5249,1,1,Varient Pictures,Unrated,86,2015
The Good Dinosaur,123087120,1,6,Disney/Pixar,PG,93,2015
The Gunman,7926657,4,5,Open Road Films,R,115,2015
The Hallow,2361,3,1,Occupant Entertainment,Unrated,97,2015
The Hateful Eight,54116191,1,5,The Weinstein Company,R,168,2015
The Human Centipede III (Final Sequence),470,1,2,IFC Films,Unrated,102,2015
The Hunger Games: Mockingjay - Part 2,254641329,1,4,Lionsgate Films,PG-13,137,2015
The Intern,60886513,1,2,Warner Bros. Pictures,PG-13,121,2015
The Invitation,231703,1,4,Drafthouse Films,Unrated,100,2015
The Looking Glass,1711,1,2,FilmAcres,Unrated,110,2015
The Man from U.N.C.L.E.,38140180,2,3,Warner Bros. Pictures,PG-13,116,2015
The Man in 3B,291145,1,1,Sony Pictures Entertainment,R,93,2015
The Martian,202313768,3,3,20th Century Fox,PG-13,144,2015
The Night Before,31315980,1,2,Sony Films,R,101,2015
The Overnight,1109808,1,2,The Orchard,R,79,2015
The Peanuts Movie,106132048,1,5,20th Century Fox,G,88,2015
The Perfect Guy,45000926,1,6,Sony Pictures,PG-13,100,2015
The Sea of Trees,20083,1,3,Waypoint Entertainment,PG-13,110,2015
The Second Best Exotic Marigold Hotel,38996694,2,2,20th Century Fox,PG,122,2015
The Truth,1580106,1,1,Sony Pictures,Unrated,76,2015
The Witch,19239494,2,3,A24 Films,R,92,2015
The Visit,56499874,1,3,Universal Pictures,PG-13,94,2015
The Walk,8064239,1,3,Sony Pictures,PG,123,2015
Tomorrowland,71526443,4,6,Walt Disney Pictures,PG,130,2015
True Story,3422747,1,4,20th Century Fox,R,99,2015
True Story,3422747,1,1,20th Century Fox,Unrated,93,2015
Truth,1580106,2,3,Sony Pictures,R,125,2015
Vacation,40292843,1,2,Warner Bros. Pictures,R,99,2015
War Room,67790117,1,1,Sony Pictures,PG,120,2015
Woodlawn,14393862,1,2,Pure Flix Entertainment,PG,123,2015
Yellow Day,127833,1,3,Idyllic Entertainment,PG,98,2015
Z for Zachariah,118483,3,3,Roadside Attractions,PG-13,98,2015
Zhongkui: Snow Girl and the Dark Crystal,165428,3,3,WellGo USA,Unrated,118,2015
