id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt5594956,The Guardian,N/A,USA,"Action, Mystery, Sci-Fi",Logan Taaffe,N/A,Score G Productions,N/A,N/A,100%,N/A,movie,N/A
tt5198512,The Gulf,N/A,USA,Drama,Richard H. Perry,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5241920,The Gunman,N/A,USA,Western,Paulette Victor-Lifton,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2061841,The Guru & the Gypsy,N/A,USA,Thriller,Philippe Caland,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt4112940,The Halloween Store Zombie Wedding Movie,N/A,USA,"Comedy, Horror",Victoria Sutton,N/A,N/A,N/A,5.3,NA,92 min,movie,14
tt5156556,The Hammer of Mara: Annihilation,N/A,USA,"Action, Family, Fantasy",Trevor Norkey,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4799826,The Hanji Box,N/A,USA,"Short, Drama",Nora Jacobson,N/A,N/A,NOT RATED,N/A,NA,35 min,movie,N/A
tt4910718,The Happys,N/A,USA,Comedy,"Tom Gould, John Serpe",N/A,N/A,N/A,7.5,NA,87 min,movie,62
tt4161396,The Harrow,N/A,USA,"Crime, Drama, Mystery, Romance, Thriller",Kevin Stocklin,N/A,N/A,N/A,4.6,NA,95 min,movie,258
tt5421146,The Head Hunter,N/A,USA,Thriller,Tom Keeling,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4861366,The Healer,N/A,USA,"Drama, Mystery",Michael Pearce,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4047456,The Heart Outright,N/A,USA,N/A,Ross Kagan Marks,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5057414,The Heart of Amilcar Cabral,N/A,USA,Drama,Guenny Pires,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4028536,The Heart of The Impaler: Memoirs of James Lincoln,N/A,USA,"Fantasy, Romance, Thriller",Gerard Mendez,N/A,N/A,N/A,N/A,NA,109 min,movie,N/A
tt4945896,The Heart of a Dancer,N/A,USA,Family,John Wayne Bosley,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5181502,The Hidden Talent,N/A,USA,"Drama, Romance",Christopher Perkins,N/A,N/A,N/A,N/A,NA,108 min,movie,N/A
tt4776552,"The Highland Park, TX Hockey League",N/A,USA,Comedy,Anthony A. Kung,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt4212062,The Hike,N/A,USA,Thriller,Dave Fugett,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5724250,The Swap,N/A,USA,"Short, Comedy",Aj Cross,N/A,Marvista Entertainment,N/A,N/A,NA,N/A,movie,N/A
tt3714720,The Hollars,"$1,016,965",USA,"Comedy, Drama, Romance",John Krasinski,53,Sony Pictures Classics,PG-13,6.5,46%,88 min,movie,"10,570"
tt3827684,The Hollow,N/A,USA,"Crime, Drama, Mystery, Thriller",Miles Doleac,N/A,Historia Films,N/A,4.6,NA,128 min,movie,789
tt2918606,The Hollow Point,N/A,USA,"Crime, Drama, Thriller, Western",Gonzalo López-Gallego,41,Vertical Entertainment,R,5.4,36%,97 min,movie,"4,993"
tt5241840,The Hollywouldn'ts,N/A,USA,"Comedy, Drama",Darius Stevens Wilhere,N/A,N/A,N/A,8.5,NA,112 min,movie,6
tt1503790,The Holy Man,N/A,USA,"Action, Drama, Sport",Javier Calderon,N/A,N/A,PG-13,7.8,NA,83 min,movie,6
tt6203180,The Home Invaders,N/A,USA,"Crime, Drama",Michael Fredianelli,N/A,N/A,UNRATED,N/A,NA,99 min,movie,N/A
tt5829116,The Homeless Billionaire,"$19,771",USA,Comedy,Fred Manocherian,N/A,N/A,N/A,5.3,NA,88 min,movie,6
tt7654036,The Hook,N/A,USA,N/A,"Curtis Everitt, Matthew R. Horton(co-director)",N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt2678758,The HookUP,N/A,USA,Comedy,Jason Lockhart,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt5186476,The Horrible Hillbillies,N/A,USA,Horror,Shawn Goremonger,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6088720,The Horsemen,N/A,USA,"Short, Drama, Thriller","Andrew Dalton, Blake Z. Larson",N/A,N/A,N/A,N/A,NA,48 min,movie,N/A
tt1661908,The House That Wept Blood,N/A,USA,"Drama, Horror",Stanley Scott Bullock,N/A,N/A,N/A,N/A,NA,80 min,movie,N/A
tt4709056,The House on Aspen Street,N/A,USA,Drama,Giavanna Signorelli,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5203986,The Hudson Tribes,N/A,USA,"Crime, Drama, Romance, Thriller",John Marco Lopez,N/A,N/A,Not Rated,6.6,NA,100 min,movie,23
tt3108154,The Hunt,N/A,USA,"Action, Drama, Thriller",Peter Rochon Nicholas,N/A,N/A,N/A,4.4,NA,100 min,movie,43
tt6323218,The Hunted,N/A,USA,N/A,Christopher Pike,N/A,N/A,N/A,N/A,NA,77 min,movie,N/A
tt2381991,The Huntsman: Winter's War,"$46,445,229","USA, China","Action, Adventure, Drama, Fantasy",Cedric Nicolas-Troyan,35,Universal Pictures,PG-13,6.1,18%,114 min,movie,"90,871"
tt1905047,The Icing,N/A,USA,"Action, Crime, Thriller",Derek Braasch,N/A,N/A,N/A,7.2,NA,110 min,movie,9
tt5107162,The Importance of Doubting Tom,N/A,USA,Romance,Vanessa Roman,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4798246,The In-Between,N/A,USA,Adventure,Yale Fried,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt1355631,The Infiltrator,"$15,425,870","UK, USA","Biography, Crime, Drama, Thriller",Brad Furman,66,Broad Green Pictures,R,7.0,72%,127 min,movie,"63,365"
tt4872078,The Intervention,N/A,USA,"Comedy, Drama",Clea DuVall,57,Burn Later Productions,R,6.0,78%,90 min,movie,"5,417"
tt6044436,The Investigation,N/A,USA,Thriller,Stuart Cooper,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4082402,The Invisible Worm,N/A,USA,"Drama, Romance",Guillermo Barreira Pérez,N/A,N/A,N/A,N/A,NA,82 min,movie,N/A
tt5888506,The JUJU Driver,N/A,USA,Comedy,Anthony Singleton,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3292080,The Journey Is the Destination,N/A,USA,Drama,Bronwen Hughes,N/A,N/A,R,6.3,NA,123 min,movie,371
tt5712928,The Judgment,N/A,USA,"Short, Drama, Horror",Connor Doyle,N/A,N/A,N/A,N/A,NA,45 min,movie,N/A
tt3040964,The Jungle Book,"$363,995,937","UK, USA","Adventure, Drama, Family, Fantasy",Jon Favreau,77,Walt Disney Pictures,PG,7.4,95%,106 min,movie,"246,564"
tt6332084,The Jungle Book: Make-A-Wish,N/A,USA,"Animation, Drama, Musical",Vitaliy Versace,N/A,N/A,TV-PG,5.2,NA,90 min,movie,32
tt4299398,The Junior Squad,N/A,USA,Action,Anthony Caban,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5533094,The Karma Club,N/A,USA,Drama,Kevin Porter Young,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6420742,The Keys of Christmas,N/A,USA,"Comedy, Musical",Dave Meyers,N/A,N/A,TV-14,6.7,NA,47 min,movie,42
tt6102324,The Kid of the World,N/A,"South Africa, USA","Adventure, Family, Fantasy",Jackson Gondo,N/A,N/A,N/A,N/A,NA,122 min,movie,N/A
tt4172746,The Kids from 62-F,N/A,USA,"Adventure, Drama, Family, Fantasy, Sci-Fi",Imani Shakur,N/A,Infinite Stories Entertainment Group,TV-PG,5.3,NA,90 min,movie,42
tt5069090,The Killer Robots! Crash and Burn,N/A,USA,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Sam Gaffin,N/A,N/A,Not Rated,3.5,NA,100 min,movie,125
