title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt4587366,Eliminators,N/A,"UK, USA","Action, Thriller",James Nunn,N/A,Universal Pictures,R,5.5,NA,94 min,movie,"3,315"
tt5699828,Elina,N/A,USA,Drama,Bruce Schwartz,N/A,N/A,N/A,N/A,NA,108 min,movie,N/A
tt4525986,Ellie,N/A,USA,Drama,Alexandra De Rossi,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5390426,Ellsworth,N/A,USA,"Horror, Thriller","Chelsea Corbell, Preston Corbell",N/A,N/A,N/A,N/A,NA,46 min,movie,N/A
tt3692652,Eloise,N/A,USA,"Horror, Mystery, Thriller",Robert Legato,15,Vinson Films,R,4.6,13%,89 min,movie,"3,534"
tt2093991,Elvis & Nixon,"$725,324",USA,"Comedy, History",Liza Johnson,59,Amazon Studios,R,6.4,77%,86 min,movie,"12,297"
tt5341324,Embrace of Mateos Blood,N/A,USA,Horror,June Daguiso,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5055280,Emerald City,N/A,USA,Drama,Colin Broderick,N/A,N/A,N/A,8.2,NA,N/A,movie,20
tt6096930,Emergency Landing,N/A,USA,Drama,Rodney L. Cherry,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4513074,The Emeryville Experiments,N/A,USA,"Drama, Horror, Mystery, Thriller",Pritesh Chheda,N/A,N/A,N/A,5.1,NA,83 min,movie,"2,632"
tt3319070,Emma,N/A,USA,Thriller,Vladimir V. Feyer,N/A,N/A,TV-MA,4.8,NA,70 min,movie,132
tt4948040,Emma's Chance,N/A,USA,"Drama, Family, Sport",Anna Elizabeth James,N/A,N/A,PG,6.1,NA,93 min,movie,738
tt5156480,Emperor of the Free World,N/A,USA,"Action, Crime, Drama",Otto Aouita,N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt6097522,Empire State of the Dead,N/A,USA,Horror,Ron Bonk,N/A,N/A,N/A,5.7,NA,111 min,movie,20
tt5866732,Empty Space,N/A,USA,Drama,James Choi,N/A,N/A,N/A,6.8,NA,76 min,movie,164
tt4375268,Arbor Demon,N/A,USA,"Drama, Horror, Thriller",Patrick Rea,N/A,N/A,TV-MA,4.1,NA,100 min,movie,"1,223"
tt3719434,Encounter,N/A,USA,Horror,Susannah O'Brien,N/A,Sahara Vision Productions,R,5.3,NA,85 min,movie,641
tt5784392,End of Sanity,N/A,USA,"Short, Sci-Fi",Cole McCormack,N/A,N/A,N/A,N/A,NA,25 min,movie,N/A
tt2268433,End of a Gun,N/A,USA,"Action, Crime, Thriller",Keoni Waxman,N/A,N/A,R,3.7,NA,87 min,movie,"1,390"
tt6681228,End of the Line,N/A,USA,N/A,Paul Bronstein,N/A,N/A,N/A,N/A,NA,49 min,movie,N/A
tt4171892,Endor,N/A,USA,"Adventure, Horror","Aaron Gum, Andrew McGreevy",N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4837396,Enemy Within,N/A,USA,"Action, Romance, Thriller",Damian Chapa,N/A,N/A,N/A,4.2,NA,100 min,movie,8
tt6581698,English,N/A,USA,Drama,Beverle Spruill,N/A,N/A,N/A,N/A,NA,99 min,movie,N/A
tt6096300,Engrams,N/A,"USA, Belgium, Greece, Hungary, Netherlands, Poland, Romania, Republic of Macedonia",N/A,Armando Luis Alvarez,N/A,N/A,PG,8.2,NA,103 min,movie,36
tt5053028,Enigma of Being Awake,N/A,USA,"Drama, Romance",Emmeline Kim,N/A,N/A,N/A,N/A,NA,53 min,movie,N/A
tt6789794,Enjoy,N/A,USA,"Horror, Thriller",Justin Smith,N/A,N/A,N/A,N/A,NA,53 min,movie,N/A
tt3864514,Entirely Accidental,N/A,USA,"Comedy, Drama, Romance",Maxime Arthur Gibert,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4876286,About Us,N/A,"Costa Rica, USA","Comedy, Drama, Romance",Hernan Jimenez,N/A,LALALA Productions,N/A,7.4,NA,87 min,movie,120
tt2126284,Envisage,N/A,USA,Drama,Rich Sturdevant,N/A,N/A,N/A,N/A,NA,82 min,movie,N/A
tt4660464,Epic Love,N/A,USA,Romance,Jason Zumwalt,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3958780,Equity,"$1,605,197",USA,Drama,Meera Menon,68,Broad Street Pictures,R,5.5,83%,100 min,movie,"3,239"
tt2516326,Erasing Eden,N/A,USA,Drama,Beth Dewey,N/A,N/A,N/A,5.1,NA,90 min,movie,340
tt5929492,Eric Gales a Night on the Sunset Strip,N/A,USA,Music,Scott Gawlik,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt6112660,Escalators,N/A,"France, USA","Comedy, Drama",Daniel C. Doran,N/A,N/A,N/A,N/A,NA,61 min,movie,N/A
tt5905286,Escape from TiTiLan,N/A,USA,"Adventure, Musical, Sci-Fi",N/A,N/A,N/A,N/A,N/A,NA,124 min,movie,N/A
tt6286196,Escaped to Tell,N/A,USA,Family,Roger Gourdine,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt8890524,Estratejia De Escape,N/A,USA,N/A,Javier Cruz Jr.,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4970194,Eternal Salvation,N/A,USA,Drama,Reed Simonsen,N/A,N/A,NOT RATED,6.9,NA,87 min,movie,43
