title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt4914072,Outside Through the Labyrinth,N/A,USA,Drama,Scott Shaw,N/A,N/A,N/A,N/A,NA,53 min,movie,N/A
tt3032288,Ovation,N/A,USA,"Comedy, Drama",Henry Jaglom,N/A,N/A,R,5.6,NA,105 min,movie,17
tt3118034,Overdose: Death of a Punk Rocker,N/A,USA,"Comedy, Drama, Music, Mystery",D.J. Yarotsky,N/A,N/A,N/A,7.7,NA,112 min,movie,9
tt2363325,Overseas,N/A,"USA, Nigeria",Drama,"Aunna Fu, Linda Obasi",N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt3084904,Ovum,N/A,USA,"Comedy, Drama",Matt Ott,N/A,Random Media,Not Rated,8.2,NA,86 min,movie,87
tt2149087,P.T.S.D,N/A,USA,Drama,Cedric Godin,N/A,N/A,N/A,7.5,NA,77 min,movie,15
tt6357878,POV,N/A,USA,Drama,Shadow,N/A,N/A,N/A,N/A,NA,115 min,movie,N/A
tt5009334,Pa'a Ke Aupuni,N/A,USA,History,Cynthia Y.H. Derosier,N/A,N/A,N/A,N/A,NA,63 min,movie,N/A
tt5178824,Packman the Movie the Weedmans Diary,N/A,USA,Comedy,Kenneth l Hobbs,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4911496,Pages of the Code,N/A,USA,Thriller,Don Macy,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3090208,Pain,N/A,USA,Action,Steve Rahaman,N/A,N/A,UNRATED,7.5,NA,98 min,movie,15
tt2006809,Pain Is Beautiful,N/A,USA,"Drama, Horror, Thriller",Chris Staviski,N/A,N/A,N/A,5.7,NA,100 min,movie,33
tt3310618,Paj Ntaub - The Rose Cloth,N/A,USA,Romance,Seng Yang,N/A,N/A,N/A,7.3,NA,N/A,movie,6
tt3744264,Pali Road,N/A,"China, USA","Drama, Fantasy, Mystery",Jonathan Hua Lang Lim,38,N/A,N/A,7.8,NA,92 min,movie,"5,610"
tt2111382,Pals,N/A,USA,"Comedy, Horror, Thriller",Joey Moran,N/A,N/A,N/A,N/A,NA,87 min,movie,N/A
tt3332064,Pan,"$35,914,825","USA, UK, Australia","Adventure, Comedy, Family, Fantasy",Joe Wright,36,Warner Bros.,PG,5.7,27%,111 min,movie,"57,043"
tt4224482,Panopticon,N/A,USA,"Drama, Thriller",Aaron Keene,N/A,N/A,N/A,6.8,NA,86 min,movie,20
tt5143270,Panteon Woods,N/A,USA,Thriller,Michael Ramova,N/A,N/A,N/A,2.9,NA,68 min,movie,50
tt2749282,Papa Hemingway in Cuba,N/A,"USA, Canada","Biography, Drama",Bob Yari,37,N/A,R,6.3,NA,110 min,movie,"1,261"
tt3622592,Paper Towns,N/A,USA,"Comedy, Drama, Mystery, Romance",Jake Schreier,56,20th Century Fox,PG-13,6.3,57%,109 min,movie,"90,379"
tt3304688,Paperback,N/A,USA,"Comedy, Romance",Adam Bowers,N/A,N/A,N/A,8.6,NA,79 min,movie,12
tt5210510,Paradigm Shrift,N/A,USA,N/A,Armando Lamberti,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2391630,Paradise House,N/A,USA,Comedy,"Arthur Muhammad, Thomas Tammy",N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt5116940,Paradise Waits,N/A,USA,Sport,"Blake Campbell, Steve Jones, Todd Jones, Teton Gravity Research",N/A,Teton Gravity Research,PG,6.1,NA,69 min,movie,41
tt3858478,"Paradise, FL",N/A,USA,"Drama, Family",Nick Morgulis,N/A,N/A,N/A,3.6,NA,113 min,movie,28
tt2253090,Parallax,N/A,USA,Western,Meredith Mantik,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2319216,Parallax,N/A,USA,"Comedy, Drama, History",Graham Nolte,N/A,N/A,N/A,7.4,NA,80 min,movie,11
tt4263774,Parallel,N/A,USA,"Drama, Sci-Fi","Keith Nickoson, John Turk",N/A,N/A,N/A,6.4,NA,91 min,movie,59
tt3479316,Parallels,N/A,USA,"Action, Sci-Fi",Christopher Leone,N/A,Fox,Not Rated,6.1,NA,83 min,movie,"13,035"
tt2473510,Paranormal Activity: The Ghost Dimension,N/A,USA,"Horror, Mystery, Thriller",Gregory Plotkin,30,Paramount Pictures,R,4.6,14%,88 min,movie,"23,194"
tt4117444,Paranormal Chasers Legend of the Black Cross,N/A,USA,Sci-Fi,Kevin R. Sexton,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3959084,Paranormal Extremes: Text Messages from the Dead,N/A,USA,"Drama, Horror",Ted V. Mikels,N/A,N/A,NOT RATED,2.3,NA,102 min,movie,79
tt6607232,Paranormal Squad,N/A,USA,N/A,Andrew Nosal,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3043252,Parched,N/A,"India, UK, USA",Drama,Leena Yadav,67,Shivalaya Entertainment,Not Rated,7.5,86%,116 min,movie,"4,316"
