title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt4470336,#50Fathers,N/A,USA,Comedy,Joddy Eric Matthews,N/A,N/A,N/A,N/A,NA,132 min,movie,N/A
tt5460468,#Enough,N/A,USA,Drama,Miranda Ferguson,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3526286,#Horror,N/A,USA,"Crime, Drama, Horror, Mystery, Thriller",Tara Subkoff,42,N/A,Not Rated,3.0,NA,101 min,movie,"3,218"
tt2538204,#Lucky Number,N/A,USA,Comedy,Brendan Gabriel Murphy,N/A,N/A,TV-14,5.0,NA,80 min,movie,435
tt5466780,#Standards,N/A,USA,Drama,Melanie Page,N/A,N/A,N/A,N/A,NA,50 min,movie,N/A
tt4444974,#blessed,N/A,USA,"Documentary, Comedy","Rich Costales, Kailee McGee",N/A,N/A,N/A,N/A,NA,83 min,movie,N/A
tt4397606,$kumbagz,N/A,USA,"Crime, Thriller",John Miller,N/A,N/A,N/A,7.6,NA,71 min,movie,9
tt3234822,We Should Have This Conversation After Dinner,N/A,USA,Comedy,Nine Blackmon,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3556238,'Tis the Season,N/A,USA,Comedy,"Kevin Burge, Tad Sisler",N/A,"Main Road Productions, LTD.",N/A,N/A,NA,N/A,movie,N/A
tt4872362,(313) Choices,N/A,USA,Drama,"Tyler Clifton, Brock Lewandowski, Sarah R. Matthews, Sam Rector, Austin Schuld, Keenan Wetzel",N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt7122468,1 Chisper,N/A,USA,Horror,Jaume Collet-Serra,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4152210,1 world 100 lonely,N/A,USA,"Comedy, Drama, Romance",Brian McGuire,N/A,N/A,N/A,N/A,NA,116 min,movie,N/A
tt4418268,1.7 Alpha,N/A,USA,"Drama, Sci-Fi",Quanah Jay Hicks,N/A,N/A,N/A,7.4,NA,97 min,movie,14
tt5282238,10,N/A,USA,Thriller,Jeff Morris,N/A,N/A,N/A,4.7,NA,90 min,movie,7
tt3453052,10 Days in a Madhouse,N/A,USA,Drama,Timothy Hines,N/A,N/A,R,6.7,NA,111 min,movie,"1,165"
tt4562630,10 Minutes,N/A,USA,"Action, Drama, Thriller",Saquan Jones,N/A,N/A,N/A,N/A,NA,67 min,movie,N/A
