title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt8192676,Dragon Kin,N/A,USA,"Adventure, Comedy, Fantasy","Tarmac Brothers, Joshua Kerr(co-director), Michael Roberts(co-director)",N/A,N/A,N/A,N/A,NA,55 min,movie,N/A
tt7220318,Drawing Dead,N/A,USA,N/A,Bob Clark,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2208868,Dream Country,N/A,USA,Fantasy,Robert Rollins,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7296604,Dream Man,N/A,"USA, Vietnam",Thriller,Roland Nguyen,N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt5478918,Dreams I Never Had,N/A,USA,Drama,"Iyad Hajjaj, Mahmoud Kamel",N/A,N/A,N/A,6.2,NA,81 min,movie,75
tt8075928,Drinking Water,N/A,USA,Drama,Greg W. Locke,N/A,N/A,N/A,N/A,NA,82 min,movie,N/A
tt4824222,Drive,N/A,USA,Drama,"Shanna Becker, Shadow C. LaValley",N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5592796,Driven,N/A,"Puerto Rico, UK, USA","Biography, Drama, Thriller",Nick Hamm,55,Variance Films &amp; Universal Pictures Content Group,R,6.2,61%,113 min,movie,"2,658"
tt5240090,Driver,N/A,USA,"Crime, Drama, Mystery","Jack Skyyler, Alex Zinzopoulos",N/A,Sundance Selects,N/A,4.1,44%,79 min,movie,70
tt5596336,Dual Mania,N/A,USA,Thriller,Joseph Strickland,N/A,N/A,N/A,N/A,NA,100 min,movie,N/A
tt6958014,Duck Butter,N/A,USA,"Comedy, Drama, Romance",Miguel Arteta,58,The Orchard,Not Rated,5.2,57%,93 min,movie,"2,283"
tt4940416,Duck Duck Goose,N/A,"China, USA, UK","Animation, Adventure, Comedy, Family",Christopher Jenkins,N/A,Open Road Films,PG,5.7,NA,91 min,movie,"2,623"
tt3458510,Dude,N/A,USA,"Comedy, Drama",Olivia Milch,N/A,Netflix,TV-MA,5.1,NA,97 min,movie,"5,497"
tt7822680,Duke,N/A,USA,N/A,Thiago Dadalt,N/A,Gravitas Ventures,N/A,N/A,NA,N/A,movie,N/A
tt4878482,Dumplin',N/A,USA,"Comedy, Drama, Musical",Anne Fletcher,53,N/A,PG-13,6.6,NA,110 min,movie,"23,312"
tt5358438,Dusk to Dusk,N/A,USA,Horror,Philip Cornwall,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt8431312,Dusty Simulacra,N/A,USA,Drama,Mo Shirazi,N/A,N/A,N/A,N/A,NA,71 min,movie,N/A
tt9233202,Dwight York: Belongs in a Bar,N/A,USA,N/A,Ian Rans,N/A,N/A,N/A,N/A,NA,55 min,movie,N/A
tt7335892,Homecoming Revenge,N/A,USA,Thriller,Sam Irvin,N/A,N/A,N/A,5.3,NA,N/A,movie,127
tt4701724,Early Man,N/A,"USA, UK, France","Animation, Adventure, Comedy, Family, Fantasy, Sport",Nick Park,68,Lionsgate,PG,6.1,81%,89 min,movie,"17,049"
tt8692786,Earth's Call,N/A,USA,N/A,Craig Singer,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6082386,Ease the Pain,N/A,USA,Thriller,Robert L. Parker III,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3867436,East Plains: Get Out!,N/A,USA,Comedy,Steve Richard,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7575582,Easter Bunny Adventure 2,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2399430,Easy Money,N/A,USA,Drama,Halstan Williams,N/A,Butch Williams Studios,N/A,5.9,NA,85 min,movie,7
tt8200864,Easy Money,N/A,USA,Action,"Charles Steven Duran(co-director), La La King(co-director)",N/A,Butch Williams Studios,N/A,N/A,NA,64 min,movie,N/A
tt4229864,Eat Me,N/A,USA,"Drama, Horror, Mystery, Thriller",Adrian Cruz,N/A,Blue Fox Entertainment,TV-MA,4.5,NA,95 min,movie,180
