title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt2754340,Through a Mother's Eyes,N/A,USA,Drama,Greg Robbins,N/A,N/A,N/A,5.6,NA,N/A,movie,10
tt5615530,Through the Storm,N/A,USA,Action,Rebekah Stought,N/A,N/A,N/A,8.0,NA,91 min,movie,5
tt1986997,Thursday's Speaker,N/A,USA,"Comedy, Drama",Gary Hebert,N/A,N/A,Not Rated,7.7,NA,85 min,movie,14
tt2866674,Thy Will Be Done,N/A,USA,"Drama, Family, Musical",Albert Johnson,N/A,Lightyear Entertainment,N/A,6.7,NA,90 min,movie,7
tt1758820,Tiburon,N/A,USA,"Drama, Thriller",Christopher Behrens,N/A,N/A,N/A,8.3,NA,87 min,movie,28
tt3304834,Tied Up,N/A,USA,"Drama, Thriller",Tim Kirkpatrick,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2411008,Tiger Lily Road,N/A,USA,Comedy,Michael Medeiros,N/A,Quad Theater,N/A,6.8,NA,86 min,movie,32
tt2993348,Tilt,N/A,USA,"Drama, Thriller",Phil Holbrook,N/A,N/A,N/A,4.6,NA,78 min,movie,16
tt2574190,Time,N/A,USA,Drama,AJ Lovelace,N/A,N/A,N/A,N/A,NA,53 min,movie,N/A
tt6330370,Time Travelers 2: The Darkness Within,N/A,USA,N/A,Mike Winkler,N/A,N/A,N/A,N/A,NA,77 min,movie,N/A
tt3037586,Time and Charges,N/A,USA,"Comedy, Drama",Ernest Thompson,N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt3030714,Time and Time Again,N/A,USA,"Action, Adventure",Joe L. Roberts,N/A,N/A,N/A,8.0,NA,95 min,movie,104
tt2209708,Time of the Month,N/A,USA,Romance,Chris Stokes,N/A,N/A,N/A,3.7,NA,N/A,movie,6
tt1986998,Tio Papi,N/A,USA,"Comedy, Drama, Family",Fro Rojas,44,Tio Papi The Movie LLC.,PG,6.3,29%,87 min,movie,102
tt8219390,Tipping Point,N/A,USA,N/A,N/A,N/A,Temple Hill Entertainment,N/A,N/A,NA,60 min,movie,N/A
tt3115382,Titan the Urban Samurai,N/A,USA,"Action, Adventure, Drama",Johnnie Baker Jr.,N/A,N/A,N/A,N/A,NA,99 min,movie,N/A
tt3303028,To Become Ghosts,N/A,USA,Drama,Chris Dickerson,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2263468,To Hell with a Bullet,N/A,USA,"Drama, Horror, Thriller",Vick Wright,N/A,N/A,NOT RATED,3.7,NA,107 min,movie,50
tt2630300,To Jennifer,N/A,USA,"Horror, Thriller",James Cullen Bressack,N/A,MVD Entertainment Group,N/A,4.6,NA,76 min,movie,524
tt2673714,To Live and Die in Opa Humpka,N/A,USA,Comedy,N/A,N/A,N/A,N/A,N/A,NA,54 min,movie,N/A
tt3651654,To Pull a Stunt,N/A,USA,"Drama, Family",Wendy Eaton,N/A,N/A,N/A,N/A,NA,80 min,movie,N/A
tt2990122,To the Horizon,N/A,USA,"Drama, Romance",Ryan Lee Taylor,N/A,N/A,N/A,N/A,NA,71 min,movie,N/A
tt2719488,Toast,N/A,USA,"Comedy, Drama",Grayson Johnson,N/A,N/A,N/A,N/A,NA,80 min,movie,N/A
tt2974798,Together Alone,N/A,USA,"Drama, Romance",Pouran Esrafily,N/A,N/A,N/A,N/A,NA,94 min,movie,N/A
tt3245778,Tom Garland: Unleashed,N/A,USA,Comedy,Joe Clarke,N/A,N/A,N/A,N/A,NA,65 min,movie,N/A
tt5085082,Tony Roberts: I'm Different,N/A,USA,Comedy,Deon Taylor,N/A,N/A,Not Rated,4.5,NA,67 min,movie,12
tt1423636,Torn,"$4,881","Pakistan, USA",Drama,Jeremiah Birnbaum,59,Dada Films,N/A,5.9,90%,80 min,movie,499
tt1663696,Torture Chamber,N/A,USA,Horror,Dante Tomaselli,N/A,Cinedigm,R,2.9,NA,90 min,movie,471
tt2861394,Touch of the Devil,N/A,USA,"Horror, Thriller",Virginia Mariposa Dale,N/A,N/A,N/A,N/A,NA,81 min,movie,N/A
tt2364949,Touchy Feely,"$35,966",USA,Drama,Lynn Shelton,55,Magnolia Pictures,R,5.3,39%,89 min,movie,"3,382"
tt2379118,Towers of Terror,N/A,USA,"Comedy, Horror",Matt Gibson,N/A,N/A,N/A,3.1,NA,84 min,movie,18
tt2578832,Towheads,N/A,USA,"Comedy, Drama, Family",Shannon Plumb,56,Cinedigm,N/A,5.5,67%,85 min,movie,98
tt3897880,Tracing Skylines,N/A,USA,Sport,Tyler Hamlet,N/A,N/A,Not Rated,5.9,NA,55 min,movie,28
tt3075730,Tracked,N/A,USA,"Crime, Drama",Juan Carlos Rodriguez,N/A,N/A,N/A,N/A,NA,93 min,movie,N/A
tt2734456,Tracks,N/A,USA,"Crime, Drama","Gage Beavers, Nathan Booth(co-director)",N/A,N/A,N/A,N/A,NA,70 min,movie,N/A
tt2973950,Traduce,N/A,USA,"Drama, Romance, Thriller",Raymond Deane,N/A,N/A,N/A,N/A,NA,101 min,movie,N/A
tt3003758,Traitors,N/A,"Morocco, USA",Drama,Sean Gullette,N/A,Film Movement,Not Rated,6.3,88%,83 min,movie,310
