title,box_office,country,genre,production,rating,runtime,year
12 Years a Slave,50628650,2,3,Fox Searchlight,R,134,2013
2 Guns,73500000,1,3,Universal Pictures,R,109,2013
21 & Over,25675765,1,1,Relativity Media,R,93,2013
42,95001343,1,3,Warner Bros. Pictures,PG-13,128,2013
47 Ronin,20518224,4,3,Universal Pictures,PG-13,128,2013
A Good Day to Die Hard,67344392,3,2,20th Century Fox,R,98,2013
A Haunted House,32536865,1,2,Open Road Films,R,86,2013
A Madea Christmas,52528330,1,3,Lionsgate,PG-13,100,2013
A Master Builder,46874,1,1,Abramorama Entertainment,Unrated,130,2013
A Perfect Man,388,1,2,IFC Films,R,95,2013
A Teacher,4000,1,2,Oscilloscope Laboratories,Unrated,75,2013
A.C.O.D.,123368,1,1,The Film Arcade,R,88,2013
Admission,18000000,1,3,Focus Features,PG-13,107,2013
Adult World,16740,1,2,IFC Films,R,97,2013
Afflicted,121179,2,3,CBS Films,R,85,2013
After Earth,60522097,1,6,Sony Pictures,PG-13,100,2013
Aftermath,2955,1,2,Freestyle Releasing,R,84,2013
Afternoon Delight,174496,1,2,The Film Arcade,R,98,2013
Ain't Them Bodies Saints,200000,1,3,IFC Films,R,96,2013
All Is Bright,4556,1,2,Anchor Bay Films,R,107,2013
All Is Lost,4300353,1,2,Lionsgate/Roadside Attractions,PG-13,106,2013
Almost Human,6986,1,3,IFC Films,Unrated,80,2013
Alone Yet Not Alone,668172,1,5,Hammond Entertainment,PG-13,103,2013
American Hustle,99165609,1,2,Sony Pictures,R,138,2013
Anchorman 2: The Legend Continues,76820043,1,1,Paramount Pictures,PG-13,119,2013
As I Lay Dying,15009,1,1,Millennium Entertainment,R,110,2013
At Middleton,52926,1,2,Anchor Bay and Freestyle Releasing,R,99,2013
August: Osage County,29202643,1,2,The Weinstein Company,R,121,2013
Austenland,2155334,2,2,Sony Pictures Classics,PG-13,97,2013
Axe Giant: The Wrath of Paul Bunyan,2498,1,2,Cinema Purgatorio,R,90,2013
Bad Grandpa,84961415,1,1,Paramount Pictures,R,92,2013
Baggage Claim,17262017,1,2,Fox Searchlight,PG-13,96,2013
Battle of the Year,8888355,1,2,Sony Pictures,PG-13,110,2013
Beautiful Creatures,19445217,1,3,Warner Bros. Pictures,PG-13,124,2013
Before Midnight,8114507,2,2,Drafthouse Recommends,R,109,2013
Begin Again,12078174,1,4,The Weinstein Company,R,104,2013
Behind the Candelabra,1631647,1,4,HBO Films,TV-MA,118,2013
Beneath the Harvest Sky,28116,1,3,Tribeca Film,Unrated,116,2013
Big Sur,35927,1,2,Ketchup Entertainment,R,81,2013
Black Nativity,4894004,1,4,Fox Searchlight,PG,93,2013
Blood Ties,28785,2,4,Roadside Attractions,R,127,2013
Blue Caprice,91126,1,3,IFC Films,R,93,2013
Breathe In,55881,1,2,Cohen Media Group,R,98,2013
Broken City,19600000,1,4,20th Century Fox,R,109,2013
C.O.G.,55301,1,2,Screen Media Ventures,R,88,2013
Camp,213233,1,1,Freestyle Releasing,PG-13,109,2013
Captain Phillips,107100855,1,4,Sony Pictures,PG-13,134,2013
Carrie,28440607,1,2,Sony Pictures,R,100,2013
Closed Circuit,9655979,2,4,Focus Features,R,96,2013
Cloudy with a Chance of Meatballs 2,119793567,1,6,Sony Pictures,PG,95,2013
Computer Chess,101218,1,1,Kino Lorber,Unrated,92,2013
Contracted,3328,1,3,IFC Films,Unrated,84,2013
Copperhead,171740,1,1,The Film Collective,PG-13,120,2013
The Lunchbox,4231500,5,2,Sony Pictures Classics,PG,104,2013
Dallas Buyers Club,23750994,1,2,Focus Features,R,117,2013
Dark Skies,17411930,1,3,The Weinstein Company,PG-13,97,2013
Dead Man Down,10880926,1,4,FilmDistrict,R,118,2013
Dealin' with Idiots,15308,1,1,IFC Films,Unrated,88,2013
Decoding Annie Parker,39850,1,1,Entertainment One,R,91,2013
Delivery Man,30659817,3,2,Walt Disney Pictures,PG-13,105,2013
Despicable Me 2,368049635,3,6,Universal Pictures,PG,98,2013
Devil's Knot,122892,1,4,RLJ/Image Entertainment,Unrated,114,2013
Drinking Buddies,200000,1,3,Magnolia Pictures,R,90,2013
Elysium,90800000,1,3,TriStar Pictures,R,109,2013
Ender's Game,61656849,1,4,Summit Entertainment,PG-13,114,2013
Epic,107515297,1,6,Twentieth Century Fox,PG,102,2013
Escape Plan,18645489,1,2,Summit Entertainment,R,115,2013
Escape from Planet Earth,54700000,2,5,The Weinstein Co.,PG,89,2013
Escape from Tomorrow,169719,1,4,FilmBuff,Unrated,90,2013
Europa Report,125475,1,4,Magnolia Pictures,PG-13,90,2013
Evil Dead,54200000,1,3,TriStar Pictures,R,91,2013
Fading Gigolo,3179352,1,1,Millenium Entertainment,R,90,2013
Felony,185429,2,3,Gravitas Ventures,TV-MA,105,2013
Filth,23145,5,3,Magnet Releasing,R,97,2013
Free Birds,46667023,1,5,Relativity Media,PG,91,2013
Frozen,400736600,1,6,Walt Disney Pictures,PG,102,2013
Fruitvale Station,11010136,1,4,The Weinstein Company,R,85,2013
Fast & Furious 6,238700000,4,3,Universal Pictures,PG-13,130,2013
G.I. Joe: Retaliation,122512052,1,4,Paramount Pictures,PG-13,110,2013
Gangster Squad,45996718,1,4,Warner Bros.,R,113,2013
Getaway,10494494,2,3,Warner Bros. Pictures,PG-13,90,2013
Go for Sisters,55963,1,3,Variance Films,Unrated,123,2013
Grace Unplugged,2507106,1,2,Roadside Attractions,PG,102,2013
