title,box_office,country,genre,production,rating,runtime,year
Gravity,274084951,2,3,Warner Bros. Pictures,PG-13,91,2013
Grown Ups 2,127400000,1,1,Sony Pictures,PG-13,101,2013
Grudge Match,14885004,1,3,Warner Bros. Pictures,PG-13,113,2013
Hank and Asha,10544,2,2,FilmRise,Unrated,73,2013
Hansel & Gretel: Witch Hunters,55000000,2,3,Paramount Pictures/MGM,R,88,2013
Hell Baby,4980,1,2,Millenium Entertainment,R,98,2013
Her,17901029,1,3,Warner Bros. Pictures,R,126,2013
Home Run,2859955,1,2,Samuel Goldwyn Films,PG-13,113,2013
Homefront,12641119,1,2,Open Road Films,R,100,2013
Horns,511848,2,6,Radius-TWC,R,120,2013
Redemption,23595,2,3,Roadside Attractions,R,100,2013
I Spit on Your Grave 2,441,1,2,Anchor Bay Entertainment,R,106,2013
I Used to Be Darker,21964,1,2,Strand Releasing,Unrated,89,2013
I'm in Love with a Church Girl,2380405,1,3,High Top Releasing,PG,118,2013
Identity Thief,134455175,1,3,Universal Pictures,R,111,2013
In Secret,308227,3,3,Roadside Attractions,R,107,2013
In a World...,2041184,1,1,Roadside Attractions,R,93,2013
InAPPropriate Comedy,156414,1,1,Freestyle Releasing,R,83,2013
Innocence,292824,1,5,Abramorama Entertainment,PG-13,96,2013
Inside Llewyn Davis,9666762,3,3,CBS Films,R,104,2013
Insidious: Chapter 2,71401629,2,3,FilmDistrict,PG-13,106,2013
Interior. Leather Bar.,26222,1,1,Strand Releasing,Unrated,60,2013
Iron Man 3,408992272,1,3,Walt Disney Pictures,PG-13,130,2013
It Felt Like Love,31173,1,1,Varience Films,Unrated,82,2013
Jake Squared,1681,1,2,Freestyle Releasing,R,100,2013
Jobs,16117443,2,2,Open Road Films,PG-13,128,2013
Joe,257588,1,2,Roadside Attractions,R,117,2013
Kick-Ass 2,28800000,2,5,Universal Pictures,R,103,2013
Kill Season,27713,1,2,Milennium Entertainment,Unrated,0,2013
Kill Your Darlings,679958,1,4,Sony Pictures Classics,R,104,2013
Killing Season,27713,3,3,Milennium Entertainment,R,91,2013
King's Faith,59294,1,1,Independent Pictures,PG-13,108,2013
Labor Day,13362308,1,2,Paramount Pictures,PG-13,111,2013
Last Flight of the Champion,1493,1,3,High Top Releasing,PG,88,2013
Last Vegas,51434214,1,2,CBS Films,PG-13,105,2013
Legends of Oz: Dorothy's Return,6455823,2,5,Clarius Entertainment,PG,88,2013
Life of Crime,261695,1,2,Roadside Atrractions,R,98,2013
Locke,1326469,2,1,A24 Films,R,85,2013
Lone Survivor,97665254,1,4,Universal Studios,R,121,2013
Love and Honor,10534,1,3,IFC Films,PG-13,100,2013
Lovelace,300000,1,2,Radius-TWC,R,93,2013
Machete Kills,5658869,2,3,Open Road,R,107,2013
Make Your Move,122293,2,3,FilmDisctrict,PG-13,110,2013
Man of Steel,291021565,2,3,Warner Bros. Pictures,PG-13,143,2013
Man of Tai Chi,61054,3,2,Radius-TWC,R,105,2013
Max Rose,56365,1,1,Paladin,Unrated,83,2013
Metallica Through the Never,2608716,1,1,Picturehouse Films,R,93,2013
Monsters University,260300000,1,5,Walt Disney Pictures,G,104,2013
Mother of George,145442,2,1,Oscilloscope Pictures,R,107,2013
Movie 43,8700000,1,1,Relativity Media,R,94,2013
Nebraska,11348612,1,3,Paramount Pictures,R,115,2013
Not Today,317903,1,1,Freestyle Releasing,PG-13,118,2013
Nothing Left to Fear,7886,1,1,Anchor Bay Entertainment,R,100,2013
Now You See Me,117698894,2,3,Lionsgate Films,PG-13,115,2013
Nymphomaniac: Vol. I,623753,7,1,Magnolia Pictures,Unrated,117,2013
Oblivion,89021735,1,3,Universal Pictures,PG-13,124,2013
Oldboy,1227546,1,4,FilmDistrict,R,104,2013
Olympus Has Fallen,98600000,1,2,FilmDistrict,R,119,2013
One Chance,1318022,2,4,The Weinstein Company,PG-13,103,2013
Only God Forgives,700000,5,3,Radius-TWC,R,90,2013
Out of the Furnace,8314341,2,4,Relativity Media,R,116,2013
Oz the Great and Powerful,234903076,1,3,Walt Disney Pictures,PG,130,2013
Pacific Rim,101785482,1,3,Warner Bros. Pictures,PG-13,131,2013
Pain & Gain,49300000,1,4,Paramount Studios,R,129,2013
Palo Alto,406235,1,1,Tribeca Film,R,100,2013
Paranoia,5334926,3,2,Relativity Media,PG-13,106,2013
Parker,17609982,1,3,FilmDistrict,R,118,2013
Parkland,652355,1,4,Exclusive Releasing,PG-13,93,2013
Pawn,2137,1,4,Anchor Bay Films,R,88,2013
Pawn Shop Chronicles,4915,1,3,Anchor Bay Entertainment,R,112,2013
Peeples,9123834,1,2,Lionsgate Films,PG-13,95,2013
Percy Jackson: Sea of Monsters,68558662,1,4,20th Century Fox,PG,106,2013
Phantom,1000000,1,4,RCR Distribution,R,98,2013
Planes,71270759,1,4,Walt Disney Pictures,PG,91,2013
Plush,2843,1,4,Millennium Entertainment,R,99,2013
Prince Avalanche,204951,1,2,Magnolia Pictures,R,94,2013
Prisoners,60962878,1,4,Warner Bros.,R,153,2013
Promise Land,7600000,1,1,Focus Features,Unrated,0,2013
R.I.P.D.,33500000,1,4,Universal Pictures,PG-13,96,2013
RED 2,53215979,3,4,Lionsgate Films,PG-13,116,2013
Raze,3453,1,3,IFC Films,R,92,2013
Redemption,23595,1,3,Roadside Attractions,Unrated,115,2013
Redemption,23595,1,3,Roadside Attractions,Unrated,106,2013
Redwood Highway,132297,1,1,Monterey Media,PG-13,90,2013
Repentance,1179327,1,3,Lionsgate,R,90,2013
Return to Nuke 'Em High Volume 1,4735,1,8,Anchor Bay Films,Unrated,85,2013
Revelation Road 2: The Sea of Glass and Fire,3722,1,2,Freestyle Releasing,Unrated,90,2013
Riddick,35512027,2,4,Universal Classics,R,119,2013
Romeo and Juliet,1161089,2,3,Relativity Media,Unrated,93,2013
Runner Runner,19316646,1,2,20th Century Fox,R,88,2013
Rush,22442876,3,3,Universal Pictures,R,123,2013
Safe Haven,71100000,1,3,Relativity Media,PG-13,115,2013
Savannah,25732,1,4,Ketchup Entertainment,PG-13,101,2013
Saving Mr. Banks,53260198,3,3,Walt Disney Pictures,PG-13,125,2013
Scary Movie 5,32014289,1,1,The Weinstein Company,PG-13,86,2013
Seasons of Gray,70605,1,1,Rocky Mountain Pictures,PG-13,90,2013
Side Effects,32154410,1,4,Open Road Films,R,106,2013
Silver Circle,2825,1,2,Area 23a Films,PG-13,90,2013
Snitch,42908315,3,3,Lionsgate/Summit Entertainment,PG-13,112,2013
Stand Clear of the Closing Doors,7000,1,1,Oscilloscope Pictures,Unrated,102,2013
Star Trek Into Darkness,228756232,1,3,Paramount,PG-13,132,2013
Stoker,1700000,2,2,Fox Searchlight Pictures,R,99,2013
Syrup,656,1,3,Magnolia Pictures,R,90,2013
Temptation: Confessions of a Marriage Counselor,51935916,1,2,Lionsgate Films,PG-13,111,2013
Texas Chainsaw 3D,34334256,1,2,Lionsgate Films,R,92,2013
The Big Wedding,21500000,1,3,Lionsgate Films,R,89,2013
The Bling Ring,5500000,5,3,A24 Films,R,90,2013
Lee Daniels' The Butler,116631310,1,2,The Weinstein Company,PG-13,132,2013
The Canyons,31317,1,2,IFC Films,R,99,2013
The Christmas Candle,2209479,2,2,Echolight Studios,PG,100,2013
The Conjuring,137387272,1,3,Warner Bros. Pictures,R,112,2013
The Counselor,14696331,2,3,Fox Films,R,117,2013
The Croods,187165546,1,6,20th Century Fox,PG,98,2013
The East,1600000,2,3,Fox Searchlight Pictures,PG-13,116,2013
The English Teacher,60166,1,2,Cinedigm,R,93,2013
The Face of Love,188627,1,3,IFC Films,PG-13,92,2013
The Family,34600000,2,3,Relativity Media,R,111,2013
The Family,34600000,1,3,Relativity Media,Unrated,152,2013
The Fifth Estate,3254172,3,4,Walt Disney Pictures,R,128,2013
The Frozen Ground,89515,1,3,The Film Arcade,R,105,2013
The Gravity,274084951,1,1,Warner Bros. Pictures,Unrated,75,2013
The Great Gatsby,144812796,2,2,Warner Bros. Pictures,PG-13,143,2013
The Green Inferno,7154957,4,2,High Top Releasing,R,100,2013
The Hangover Part III,112200000,1,1,Warner Bros. Pictures,R,100,2013
The Happy House,1756,1,2,First Run Features,Unrated,81,2013
The Happy Sad,7742,1,2,Miasma Films,Unrated,87,2013
The Heat,158300000,1,3,20th Century Fox,R,117,2013
The Hobbit: The Desolation of Smaug,180443783,2,2,Warner Bros.,PG-13,161,2013
The Host,26609448,2,6,Open Road Films,PG-13,125,2013
The Hunger Games: Catching Fire,336663349,1,4,Lionsgate Films,PG-13,146,2013
The Immigrant,1300791,1,2,The Weinstein Company,R,120,2013
The Incredible Burt Wonderstone,22525921,1,1,Warner Bros. Pictures,PG-13,100,2013
The Inevitable Defeat of Mister & Pete,487348,1,1,Lionsgate Films,R,108,2013
The Internship,44400000,1,1,20th Century Fox,PG-13,119,2013
The Investigator,93690,1,3,Gabriel&#39;s Messenger Films,PG-13,101,2013
The Kings of Summer,1300000,1,3,CBS Films,R,95,2013
The Last Exorcism Part II,15200000,2,2,CBS Films,PG-13,88,2013
The Last Stand,12000000,1,2,Lionsgate Films,R,107,2013
The Lone Ranger,89289910,1,6,Walt Disney Pictures,PG-13,150,2013
The Mortal Instruments: City of Bones,31165421,4,5,Sony Pictures,PG-13,130,2013
The Oscar Nominated Short Films 2013: Live Action,2134206,5,1,Magnolia/Shorts International,Unrated,115,2013
The Package,1095,2,3,Anchor Bay Films,R,95,2013
The Pardon,2911,1,1,Monterey Media,PG-13,120,2013
The Power of Few,16071,1,5,Steelyard Pictures,R,96,2013
The Pretty One,11186,1,2,Dada Films,R,90,2013
The Purge,64400000,2,2,Universal Pictures,R,85,2013
The Retrieval,50257,1,3,Variance Films,R,92,2013
The Sacrament,4475,1,2,Magnet Releasing,R,99,2013
The Secret Life of Walter Mitty,33223430,2,4,20th Century Fox,PG,114,2013
The Smurfs 2,71017784,4,5,Sony Pictures,PG,105,2013
Homefront,12641119,1,1,Open Road Films,NOT RATED,111,2013
The To Do List,3400000,1,2,CBS Films,R,104,2013
The Ultimate Life,1326059,1,2,Hightop Releasing,PG,105,2013
The Way Way Back,21501098,1,2,Fox Searchlight,PG-13,103,2013
The Wolf of Wall Street,91330760,1,3,Paramount Studios,R,180,2013
The Wolverine,132550960,2,3,20th Century Fox,PG-13,126,2013
The World's End,33408732,3,3,Focus Features,R,109,2013
Third Person,643843,5,2,Sony Pictures Classics,R,137,2013
This Is the End,96200000,1,1,Sony Pictures,R,107,2013
Thor: The Dark World,206360018,1,3,Walt Disney Pictures,PG-13,112,2013
Torn,4881,2,1,Dada Films,Unrated,80,2013
Touchy Feely,35966,1,1,Magnolia Pictures,R,89,2013
Trance,4856227,3,4,20th Century Fox,R,101,2013
Turbo,81100000,1,6,DreamWorks Animation,PG,96,2013
Under the Skin,2326121,3,4,A24,R,108,2013
Underdogs,34810,1,3,Freestyle Releasing,PG,102,2013
Upstream Color,415067,1,2,Independent Pictures/Metrodome Dist.,Unrated,96,2013
V/H/S/2,16742,3,2,Magnet Releasing,R,96,2013
Walking with Dinosaurs 3D,23446920,3,3,20th Century Fox,PG,87,2013
Walking with the Enemy,357000,4,5,Liberty Studios,PG-13,124,2013
Warm Bodies,65000000,2,3,Lionsgate Films,PG-13,98,2013
We Are What We Are,54371,2,3,Entertainment One,R,105,2013
We're the Millers,144900000,2,2,Warner Bros. Pictures,R,110,2013
Welcome to the Punch,6787,2,3,IFC Films,R,99,2013
White House Down,73103784,1,3,Sony Pictures,PG-13,131,2013
Wish You Were Here,803093,1,1,Entertainment One,Unrated,85,2013
World War Z,202351611,3,4,Paramount Pictures,PG-13,116,2013
